age	state	bmi_30_49.8	dm_(%)	n_obesity_state	Year
55-64 Years	Hawaii	34.27%	NA	78835	1/1/2025 - 11/12/2025
55-64 Years	Nevada	39.26%	NA	107084	1/1/2025 - 11/12/2025
55-64 Years	Rhode Island	38.63%	NA	86573	1/1/2025 - 11/12/2025
55-64 Years	Utah	33.40%	NA	86898	1/1/2025 - 11/12/2025
55-64 Years	Washington	39.91%	NA	182314	1/1/2025 - 11/12/2025
55-64 Years	None of the above	45.06%	NA	160510	1/1/2025 - 11/12/2025
55-64 Years	Total	49.04%	NA	16286565	1/1/2025 - 11/12/2025
65+ Years	Mississippi	45.50%	NA	394921	1/1/2025 - 11/12/2025
65+ Years	Alabama	41.75%	NA	140374	1/1/2025 - 11/12/2025
65+ Years	West Virginia	47.77%	NA	247869	1/1/2025 - 11/12/2025
65+ Years	Kentucky	46.77%	NA	540499	1/1/2025 - 11/12/2025
65+ Years	Nebraska	45.70%	NA	186233	1/1/2025 - 11/12/2025
65+ Years	Indiana	47.90%	NA	540328	1/1/2025 - 11/12/2025
65+ Years	Ohio	46.72%	NA	1934168	1/1/2025 - 11/12/2025
65+ Years	Maryland	41.63%	NA	396690	1/1/2025 - 11/12/2025
65+ Years	Kansas	45.72%	NA	225067	1/1/2025 - 11/12/2025
65+ Years	Missouri	44.83%	NA	228701	1/1/2025 - 11/12/2025
65+ Years	Louisiana	44.65%	NA	467787	1/1/2025 - 11/12/2025
65+ Years	South Carolina	43.04%	NA	766097	1/1/2025 - 11/12/2025
65+ Years	Tennessee	40.13%	NA	346899	1/1/2025 - 11/12/2025
65+ Years	Iowa	48.18%	NA	377494	1/1/2025 - 11/12/2025
65+ Years	Oklahoma	44.02%	NA	247500	1/1/2025 - 11/12/2025
65+ Years	North Carolina	42.44%	NA	1317392	1/1/2025 - 11/12/2025
65+ Years	Virginia	41.16%	NA	1026212	1/1/2025 - 11/12/2025
65+ Years	Michigan	43.86%	NA	1151984	1/1/2025 - 11/12/2025
65+ Years	Puerto Rico	39.20%	NA	12321	1/1/2025 - 11/12/2025
65+ Years	Illinois	43.97%	NA	1140588	1/1/2025 - 11/12/2025
65+ Years	Delaware	48.64%	NA	99719	1/1/2025 - 11/12/2025
65+ Years	Arkansas	41.05%	NA	202776	1/1/2025 - 11/12/2025
65+ Years	Pennsylvania	42.72%	NA	1656813	1/1/2025 - 11/12/2025
65+ Years	Wisconsin	46.79%	NA	607238	1/1/2025 - 11/12/2025
65+ Years	New Jersey	38.91%	NA	750052	1/1/2025 - 11/12/2025
65+ Years	Minnesota	45.23%	NA	514264	1/1/2025 - 11/12/2025
65+ Years	Connecticut	40.96%	NA	590606	1/1/2025 - 11/12/2025
65+ Years	North Dakota	47.59%	NA	116546	1/1/2025 - 11/12/2025
65+ Years	Georgia	40.39%	NA	674999	1/1/2025 - 11/12/2025
