age	state	a1c_6.5+_(%)	dm_(%)	n_all_patients	Year
25-34 Years	Alabama	3.53%	6.33%	37592	1/1/2025 - 10/30/2025
25-34 Years	Guam	NA	NA	23	1/1/2025 - 10/30/2025
25-34 Years	Mississippi	3.04%	5.01%	148170	1/1/2025 - 10/30/2025
25-34 Years	Kentucky	2.82%	4.61%	259263	1/1/2025 - 10/30/2025
25-34 Years	Delaware	2.64%	4.45%	32386	1/1/2025 - 10/30/2025
25-34 Years	Indiana	2.72%	4.59%	258935	1/1/2025 - 10/30/2025
25-34 Years	North Carolina	2.66%	4.19%	568427	1/1/2025 - 10/30/2025
25-34 Years	South Carolina	2.72%	4.46%	310389	1/1/2025 - 10/30/2025
25-34 Years	Ohio	2.51%	4.13%	877524	1/1/2025 - 10/30/2025
25-34 Years	West Virginia	2.54%	4.72%	90155	1/1/2025 - 10/30/2025
25-34 Years	Illinois	2.78%	4.17%	506118	1/1/2025 - 10/30/2025
25-34 Years	Maine	2.38%	3.50%	58447	1/1/2025 - 10/30/2025
25-34 Years	Maryland	2.17%	4.13%	167951	1/1/2025 - 10/30/2025
25-34 Years	New Jersey	2.02%	3.58%	288517	1/1/2025 - 10/30/2025
25-34 Years	Kansas	2.29%	4.11%	86743	1/1/2025 - 10/30/2025
25-34 Years	Missouri	2.34%	3.90%	100507	1/1/2025 - 10/30/2025
25-34 Years	Pennsylvania	1.95%	3.32%	707563	1/1/2025 - 10/30/2025
25-34 Years	Michigan	2.15%	3.57%	527168	1/1/2025 - 10/30/2025
25-34 Years	Virginia	2.26%	3.77%	404187	1/1/2025 - 10/30/2025
25-34 Years	New York	1.97%	3.44%	623442	1/1/2025 - 10/30/2025
25-34 Years	Rhode Island	2.09%	3.82%	61389	1/1/2025 - 10/30/2025
25-34 Years	Oklahoma	2.86%	4.78%	101906	1/1/2025 - 10/30/2025
25-34 Years	Minnesota	2.47%	3.71%	228698	1/1/2025 - 10/30/2025
25-34 Years	Wisconsin	2.42%	3.35%	299747	1/1/2025 - 10/30/2025
25-34 Years	Hawaii	2.44%	4.31%	50797	1/1/2025 - 10/30/2025
25-34 Years	Iowa	2.66%	4.03%	174109	1/1/2025 - 10/30/2025
25-34 Years	New Mexico	2.30%	4.17%	22092	1/1/2025 - 10/30/2025
25-34 Years	Massachusetts	1.98%	3.16%	353071	1/1/2025 - 10/30/2025
25-34 Years	Nebraska	2.65%	4.34%	81682	1/1/2025 - 10/30/2025
25-34 Years	Louisiana	2.08%	4.12%	212368	1/1/2025 - 10/30/2025
25-34 Years	Idaho	2.40%	3.77%	85163	1/1/2025 - 10/30/2025
25-34 Years	Tennessee	2.25%	4.41%	125626	1/1/2025 - 10/30/2025
25-34 Years	New Hampshire	2.16%	3.20%	43895	1/1/2025 - 10/30/2025
25-34 Years	Georgia	2.25%	4.30%	275868	1/1/2025 - 10/30/2025
25-34 Years	Arizona	2.29%	3.35%	154156	1/1/2025 - 10/30/2025
25-34 Years	Arkansas	2.83%	5.16%	76139	1/1/2025 - 10/30/2025
25-34 Years	Connecticut	1.88%	3.77%	243850	1/1/2025 - 10/30/2025
25-34 Years	Wyoming	2.18%	3.42%	13830	1/1/2025 - 10/30/2025
25-34 Years	Florida	2.00%	3.92%	691781	1/1/2025 - 10/30/2025
25-34 Years	Oregon	1.99%	3.41%	203816	1/1/2025 - 10/30/2025
25-34 Years	Texas	2.29%	4.47%	1026390	1/1/2025 - 10/30/2025
25-34 Years	Washington	1.73%	2.64%	177200	1/1/2025 - 10/30/2025
25-34 Years	California	1.89%	3.49%	893228	1/1/2025 - 10/30/2025
25-34 Years	Montana	2.03%	3.15%	39052	1/1/2025 - 10/30/2025
25-34 Years	Puerto Rico	1.65%	5.03%	8995	1/1/2025 - 10/30/2025
25-34 Years	South Dakota	2.13%	3.08%	41752	1/1/2025 - 10/30/2025
25-34 Years	Alaska	1.59%	2.39%	1382	1/1/2025 - 10/30/2025
25-34 Years	North Dakota	2.06%	3.28%	70961	1/1/2025 - 10/30/2025
25-34 Years	Nevada	1.45%	2.77%	98389	1/1/2025 - 10/30/2025
25-34 Years	District of Columbia	1.38%	2.15%	23858	1/1/2025 - 10/30/2025
25-34 Years	Colorado	1.63%	2.91%	313823	1/1/2025 - 10/30/2025
25-34 Years	Vermont	1.62%	3.06%	32242	1/1/2025 - 10/30/2025
25-34 Years	Armed Forces Pacific	NA	NA	22	1/1/2025 - 10/30/2025
25-34 Years	Utah	1.80%	3.41%	94022	1/1/2025 - 10/30/2025
25-34 Years	Armed Forces Africa	NA	NA	41	1/1/2025 - 10/30/2025
25-34 Years	None of the above	1.63%	3.01%	191287	1/1/2025 - 10/30/2025
25-34 Years	Total	2.24%	3.85%	12566249	1/1/2025 - 10/30/2025
35-44 Years	Marshall Islands	NA	NA	5	1/1/2025 - 10/30/2025
35-44 Years	Federated States of Micronesia	NA	NA	5	1/1/2025 - 10/30/2025
35-44 Years	American Samoa, South Pacific	NA	NA	22	1/1/2025 - 10/30/2025
35-44 Years	Northern Mariana Islands	NA	NA	5	1/1/2025 - 10/30/2025
35-44 Years	Virgin Islands	NA	6.45%	217	1/1/2025 - 10/30/2025
35-44 Years	Alabama	6.78%	11.90%	47572	1/1/2025 - 10/30/2025
35-44 Years	Guam	NA	NA	27	1/1/2025 - 10/30/2025
