age	geography	time	diabetes_a1c_6_5	diabetes_dx_ccw	obesity_bmi	obesity_dx_ccw	n_patients_chronic
55-65 Years	05	2018-01-01	10.76	21.15	48.82	19.84	98066
55-65 Years	31	2018-01-01	10.34	17.54	44.36	17.22	64107
55-65 Years	44	2018-01-01	9.57	18.08	31.29	18.83	76502
55-65 Years	19	2018-01-01	11.22	17.64	48.97	28.55	167590
55-65 Years	41	2018-01-01	10.76	17.63	39.96	19.15	183282
55-65 Years	02	2018-01-01	9.96	15.22	41.24	19.75	1656
55-65 Years	16	2018-01-01	8.79	14.59	39.32	18.35	75626
55-65 Years	10	2018-01-01	10.94	18.62	46.64	19.96	36964
55-65 Years	13	2018-01-01	12.24	20.65	43.73	22.86	215709
55-65 Years	46	2018-01-01	9.98	14.17	41.48	23.85	46009
55-65 Years	25	2018-01-01	9.39	17.09	37.7	21.76	290307
55-65 Years	33	2018-01-01	8.23	13.07	40.23	16.23	78156
55-65 Years	38	2018-01-01	10.04	16.53	49.04	31.81	61470
55-65 Years	48	2018-01-01	11.01	22.05	43.96	24.12	801841
55-65 Years	34	2018-01-01	7.76	16.16	39.16	14.88	181286
55-65 Years	53	2018-01-01	9.08	14.84	36.13	13.56	134415
55-65 Years	30	2018-01-01	8.79	12.53	36.84	13.2	24537
55-65 Years	50	2018-01-01	6.32	11.16	37.26	12.6	45168
55-65 Years	35	2018-01-01	7.36	16.63	34.84	14.14	24451
55-65 Years	32	2018-01-01	8.06	16.63	36.59	19.68	70003
55-65 Years	06	2018-01-01	7.85	17.43	35.2	15.76	458857
55-65 Years	12	2018-01-01	7.39	18.08	39.84	20.98	390340
55-65 Years	08	2018-01-01	8.86	14.95	33.96	15.97	184509
55-65 Years	49	2018-01-01	8.83	14.53	35.31	12.58	51436
55-65 Years	09	2018-01-01	6.26	16.44	40.62	19.97	289949
55-65 Years	54	2018-01-01	5.44	22.62	48.96	20.94	82875
55-65 Years	11	2018-01-01	5.29	12.14	NA	NA	1985
55-65 Years	00	2018-01-01	10.85	18.38	43.68	20.65	11162939
65+ Years	01	2018-01-01	15.68	25.16	40.75	26.43	62333
65+ Years	45	2018-01-01	15.92	26.23	39.1	19.04	313325
65+ Years	39	2018-01-01	15.75	26.44	43.79	20.13	1266941
65+ Years	29	2018-01-01	13.42	25.49	41.85	16.66	142017
65+ Years	21	2018-01-01	15.44	25.76	43.86	18.52	358390
65+ Years	40	2018-01-01	15.15	25.95	39.06	15.74	136029
65+ Years	26	2018-01-01	16.57	26.28	42.51	18.92	548055
65+ Years	51	2018-01-01	14.14	24.13	37.88	15.36	678797
65+ Years	18	2018-01-01	15.56	26.82	44.13	17.19	385363
65+ Years	20	2018-01-01	13.77	23.85	43.09	17.83	125340
65+ Years	37	2018-01-01	14.27	25.78	39.49	18.17	742467
65+ Years	22	2018-01-01	15.65	28.43	41.55	21.57	276131
65+ Years	23	2018-01-01	13.25	20.07	35.26	17.24	133673
65+ Years	28	2018-01-01	12.96	25.11	38.04	11.91	223571
65+ Years	04	2018-01-01	10.38	19.49	33.11	12.04	160541
65+ Years	56	2018-01-01	12.45	21.39	39.1	15.07	24041
65+ Years	24	2018-01-01	11.8	24.28	36.7	17.02	230219
65+ Years	17	2018-01-01	13.85	19.75	39.53	12.6	798152
65+ Years	27	2018-01-01	14.73	22.1	42.21	22.03	402444
65+ Years	55	2018-01-01	15.42	23.51	44.43	19.99	444768
65+ Years	15	2018-01-01	11.48	25.22	22.68	10.94	108548
65+ Years	42	2018-01-01	12.58	23.37	40.04	16.33	1067054
65+ Years	36	2018-01-01	12.15	22.07	35.56	16.2	822570
65+ Years	47	2018-01-01	10.39	23.78	36.55	10.98	162995
65+ Years	05	2018-01-01	10.98	24.61	39.63	14.44	141026
65+ Years	31	2018-01-01	9.83	19.85	38.68	13.31	101321
65+ Years	44	2018-01-01	11.69	25.5	29.94	17.39	104158
65+ Years	19	2018-01-01	12.95	23.07	43.75	23.55	231224
65+ Years	41	2018-01-01	12.02	21.66	35.55	15.73	271306
65+ Years	02	2018-01-01	11.22	18.35	34.08	15.73	2104
65+ Years	16	2018-01-01	12.38	20.74	37.84	17.74	112981
65+ Years	10	2018-01-01	13.63	25.33	38.97	16.9	55755
65+ Years	13	2018-01-01	13.83	25.34	37.06	20.62	281319
65+ Years	46	2018-01-01	13.21	20.59	38.82	21.89	59143
65+ Years	25	2018-01-01	12.26	24.09	34.6	17.44	368506
65+ Years	33	2018-01-01	10.46	17.45	35.33	12.77	101958
65+ Years	38	2018-01-01	13.22	23.98	44.67	28.24	78955
65+ Years	48	2018-01-01	12.01	25.68	38.06	19.88	1030131
65+ Years	34	2018-01-01	9.42	21.81	33.84	11.38	262434
65+ Years	53	2018-01-01	10.89	20.1	32.35	11.2	190074
65+ Years	30	2018-01-01	10.8	16.58	33.78	10.97	31435
65+ Years	50	2018-01-01	7.06	14.39	32.75	9.58	66223
65+ Years	35	2018-01-01	7.47	19.5	26.29	10.1	36986
65+ Years	32	2018-01-01	10.41	21.26	33.14	19.21	91511
65+ Years	06	2018-01-01	8.31	20.36	28.23	11.28	653868
65+ Years	12	2018-01-01	8.25	21.9	32.97	16.66	557571
65+ Years	08	2018-01-01	11.47	20.15	31.43	14.43	233414
65+ Years	49	2018-01-01	9.38	18.76	30.43	9.89	72770
65+ Years	09	2018-01-01	7.98	22.6	36.6	15.71	400080
65+ Years	54	2018-01-01	5.31	27.87	41.15	15.74	117083
65+ Years	11	2018-01-01	6.1	14.3	NA	NA	2574
65+ Years	00	2018-01-01	12.82	23.67	38.27	16.91	15439314
Total	01	2018-01-01	9.69	14.96	40.07	22.14	210735
Total	45	2018-01-01	7.77	12.26	33.71	16.02	1418123
Total	39	2018-01-01	7.72	12.51	37.21	17.52	5737976
Total	29	2018-01-01	7.69	13.9	38.21	14.68	531396
Total	21	2018-01-01	7.57	12.17	38.9	16.15	1642839
Total	40	2018-01-01	7.56	12.55	33.71	12.81	575828
Total	26	2018-01-01	7.45	11.44	34.53	15.13	2582232
Total	51	2018-01-01	7.37	11.98	34.1	13.45	2779870
Total	18	2018-01-01	7.33	12	36.32	14.75	1871787
Total	20	2018-01-01	7.31	12.28	35.83	15.16	503634
Total	37	2018-01-01	7.17	12.34	34.42	16.43	3263739
Total	22	2018-01-01	7.14	12.65	34.88	16.45	1302788
Total	23	2018-01-01	6.9	10.15	30.04	14.91	501626
Total	28	2018-01-01	6.83	12.43	35.19	10.65	956379
Total	04	2018-01-01	6.54	11.3	32.73	13.35	560497
Total	56	2018-01-01	6.48	10.74	31.96	11.76	97217
Total	24	2018-01-01	6.44	12.74	34.33	16.63	918610
Total	17	2018-01-01	6.43	8.53	30.66	10.81	3841708
Total	27	2018-01-01	6.38	9.34	31.95	16.8	2019852
Total	55	2018-01-01	6.32	9.17	32.47	13.81	2401847
Total	15	2018-01-01	6.31	12.97	23.81	11.57	422677
Total	42	2018-01-01	6.15	11.2	34.13	15.15	4349575
Total	36	2018-01-01	6.07	10.47	30.1	14.73	3370718
Total	47	2018-01-01	6.05	12.56	35.96	10.71	652427
Total	05	2018-01-01	5.89	12.2	35.98	14.01	634227
Total	31	2018-01-01	5.86	10.68	33.8	11.94	397728
Total	44	2018-01-01	5.76	11.78	22.58	14.01	452931
Total	19	2018-01-01	5.75	9.48	33.97	18.13	1195541
Total	41	2018-01-01	5.6	9.58	28.5	13.55	1330572
Total	02	2018-01-01	5.6	8.68	29.18	13.45	10041
Total	16	2018-01-01	5.6	9.29	28.25	12.69	500681
Total	10	2018-01-01	5.56	9.85	28.48	13.94	284197
Total	13	2018-01-01	5.56	9.84	27.39	13.33	1683206
Total	46	2018-01-01	5.49	8.09	28.56	15.4	310045
Total	25	2018-01-01	5.46	10.33	27.92	16.91	1784605
Total	33	2018-01-01	5.35	8.6	30.16	11.71	425574
