,Measures,Percentage with Has Any Encounters? preceded by Diagnosis (All): Obesity CCW definition within 24 months (%),,,,,,,,,,,Percentage with Has Any Encounters? preceded by BMI 30.0  or more within 24 months (%),,,,,,,,,,,Number of Patients,,,,,,,,,,
,,Jan 1 – Dec 31 2016,Jan 1 – Dec 31 2017,Jan 1 – Dec 31 2018,Jan 1 – Dec 31 2019,Jan 1 – Dec 31 2020,Jan 1 – Dec 31 2021,Jan 1 – Dec 31 2022,Jan 1 – Dec 31 2023,Jan 1 – Dec 31 2024,Jan 1 – Dec 31 2025,Jan 1 – Apr 14 2026,Jan 1 – Dec 31 2016,Jan 1 – Dec 31 2017,Jan 1 – Dec 31 2018,Jan 1 – Dec 31 2019,Jan 1 – Dec 31 2020,Jan 1 – Dec 31 2021,Jan 1 – Dec 31 2022,Jan 1 – Dec 31 2023,Jan 1 – Dec 31 2024,Jan 1 – Dec 31 2025,Jan 1 – Apr 14 2026,Jan 1 – Dec 31 2016,Jan 1 – Dec 31 2017,Jan 1 – Dec 31 2018,Jan 1 – Dec 31 2019,Jan 1 – Dec 31 2020,Jan 1 – Dec 31 2021,Jan 1 – Dec 31 2022,Jan 1 – Dec 31 2023,Jan 1 – Dec 31 2024,Jan 1 – Dec 31 2025,Jan 1 – Apr 14 2026
Age at Encounter in Years,State of Residence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,New Jersey,3.66%,3.54%,3.32%,3.21%,3.49%,3.69%,4.15%,3.86%,3.83%,4.80%,5.77%,4.64%,4.86%,4.94%,5.20%,5.63%,5.79%,6.11%,6.06%,6.11%,6.62%,6.98%,143781,160437,189933,211482,210539,275443,314559,358954,421754,425483,218937
,Nebraska,1.44%,1.67%,1.49%,1.44%,1.47%,1.54%,1.55%,1.63%,1.68%,2.06%,2.37%,5.06%,5.62%,5.47%,5.86%,5.94%,6.07%,6.10%,6.21%,6.04%,6.55%,6.97%,34072,39145,55904,64075,64167,73599,77097,78059,85654,85963,45304
,New York,4.91%,5.94%,6.48%,6.80%,7.15%,7.28%,7.54%,7.32%,6.96%,7.97%,8.92%,5.12%,5.34%,5.44%,5.48%,5.60%,6.23%,6.66%,6.72%,6.58%,6.91%,7.10%,577113,662888,744673,864980,888998,1078103,1079968,1095137,1167645,1152187,636235
,Montana,1.85%,1.81%,1.84%,1.81%,1.93%,1.99%,1.88%,1.66%,1.74%,2.25%,2.68%,3.67%,3.73%,3.91%,4.00%,4.10%,4.47%,4.45%,4.45%,4.51%,4.89%,5.12%,37602,40339,41717,42426,41054,44721,46234,52990,64716,64339,33843
,South Dakota,1.86%,2.09%,2.14%,2.14%,2.21%,2.25%,2.29%,2.36%,2.60%,3.03%,3.30%,4.55%,4.44%,4.20%,4.19%,4.34%,4.59%,4.62%,4.69%,4.69%,4.80%,4.69%,70160,73758,80620,82246,81483,88254,89867,91071,92521,89611,54591
,New Mexico,4.37%,4.26%,4.12%,3.98%,3.47%,3.69%,4.01%,4.15%,4.07%,4.21%,4.75%,5.66%,5.59%,5.70%,5.80%,5.73%,6.44%,6.67%,6.64%,6.49%,6.50%,6.66%,92747,97792,103154,108209,96012,101419,107111,107889,110595,112639,61566
,New Hampshire,2.46%,2.56%,2.65%,3.10%,3.61%,4.24%,4.32%,4.09%,4.09%,4.80%,5.09%,5.41%,5.29%,5.56%,5.75%,5.74%,6.10%,6.06%,5.87%,5.71%,5.79%,5.67%,69867,78091,78929,81884,79441,83501,85129,84553,90915,93968,59344
,Arizona,1.72%,1.93%,2.34%,2.79%,3.42%,3.47%,3.82%,4.34%,4.43%,4.88%,5.56%,3.23%,3.54%,4.09%,4.39%,4.52%,4.53%,3.91%,4.26%,4.68%,5.35%,5.80%,55740,61433,63839,65915,60327,87037,168381,198067,219606,216586,111586
,Utah,2.34%,2.14%,1.91%,1.95%,2.18%,2.43%,2.41%,2.32%,2.21%,2.55%,2.94%,3.26%,3.23%,3.27%,3.03%,3.01%,3.08%,2.89%,2.81%,2.66%,2.77%,3.58%,92009,98538,101556,107011,104654,114683,121426,126735,134766,219801,157355
,Oregon,4.05%,4.20%,4.28%,4.50%,4.50%,4.49%,4.63%,4.49%,4.28%,4.95%,5.45%,5.04%,5.24%,5.38%,5.61%,5.56%,5.68%,5.89%,6.05%,5.96%,6.08%,6.05%,265973,283885,306690,324862,307056,359120,360519,361749,387412,387433,231762
,Wyoming,1.83%,1.74%,1.69%,1.87%,2.13%,2.27%,2.19%,1.98%,2.12%,2.33%,2.85%,3.78%,3.67%,3.71%,3.62%,3.68%,4.18%,4.22%,4.24%,4.58%,4.86%,5.31%,17972,19058,20285,22136,21136,23689,25049,28352,29681,31652,17600
,California,4.21%,4.02%,4.17%,4.37%,5.20%,6.04%,6.02%,5.81%,5.70%,7.03%,8.08%,4.44%,4.43%,4.80%,5.01%,5.31%,5.93%,5.92%,6.07%,5.88%,6.08%,6.12%,513915,614453,657782,796412,940500,1195777,1360131,1471064,1631677,1628462,904713
,Vermont,2.94%,3.09%,2.86%,2.70%,2.60%,2.50%,2.39%,2.37%,2.31%,2.70%,3.15%,5.32%,5.63%,5.54%,5.22%,4.81%,4.88%,5.18%,5.67%,5.69%,6.11%,6.20%,25979,26628,28104,32983,39798,46415,46680,47510,49045,47693,29200
,Nevada,1.48%,1.36%,1.34%,1.77%,2.07%,2.46%,2.55%,2.44%,2.61%,3.41%,4.25%,3.69%,3.82%,4.37%,4.86%,4.55%,4.92%,5.17%,5.34%,5.66%,5.77%,5.83%,45748,56638,80884,93113,98771,109504,121888,125791,133152,140415,71769
,Colorado,2.94%,3.43%,3.60%,3.41%,3.25%,3.15%,2.85%,2.68%,2.72%,3.17%,3.68%,3.21%,3.62%,3.87%,3.94%,3.96%,4.25%,4.15%,4.14%,4.15%,4.38%,4.63%,343531,375328,393177,413286,416077,501666,521649,551401,572241,542919,298597
,Washington,2.15%,2.05%,2.09%,2.26%,2.79%,3.42%,3.34%,2.89%,2.82%,3.27%,4.04%,4.42%,4.34%,4.63%,4.86%,5.10%,5.23%,4.94%,4.82%,4.86%,5.13%,5.66%,140130,155081,168185,170905,155382,177167,200059,232311,242265,230037,110839
,Alaska,2.51%,2.52%,2.29%,2.46%,2.67%,2.52%,2.40%,1.80%,1.48%,1.99%,2.72%,5.08%,4.66%,3.58%,3.60%,3.36%,3.69%,3.81%,3.61%,3.49%,3.97%,4.21%,1555,1824,2179,2111,2025,2225,1997,1885,1891,1711,808
,Hawaii,2.49%,2.28%,2.20%,2.38%,2.60%,2.13%,2.34%,2.53%,3.00%,4.03%,4.77%,4.37%,4.35%,4.44%,4.36%,4.26%,3.51%,4.05%,4.63%,5.07%,5.52%,5.77%,68357,70731,71473,73584,64725,98575,95548,93638,99364,93204,43151
,District of Columbia,1.76%,1.61%,1.24%,1.70%,1.32%,1.40%,1.08%,1.05%,1.29%,1.45%,1.57%,4.65%,4.10%,3.84%,4.20%,3.75%,3.26%,3.91%,3.34%,4.11%,4.79%,4.48%,2042,1928,1771,1644,1359,2147,2583,2575,2795,2486,826
,"Total: Total includes all data under the Less than 18 Years bucket, including data from rows not currently displayed.",3.18%,3.30%,3.42%,3.64%,4.01%,4.29%,4.35%,4.29%,4.34%,5.62%,6.43%,4.82%,5.05%,5.28%,5.49%,5.68%,6.09%,6.16%,6.21%,6.19%,6.47%,6.52%,12774949,14233531,15627888,16811861,16527267,19650892,21329681,22916249,24518698,24454849,13808069
≥ 18 and < 25 Years,Puerto Rico,,,,6.39%,10.15%,7.88%,6.41%,25.75%,27.04%,28.40%,29.33%,19.81%,15.38%,16.49%,15.07%,18.27%,13.70%,14.59%,30.49%,30.80%,31.15%,33.12%,106,130,188,219,197,292,281,1899,5292,7158,3249
,Ohio,6.75%,8.68%,10.74%,12.63%,13.17%,12.68%,13.19%,14.29%,14.82%,15.71%,16.91%,25.32%,27.10%,28.35%,28.91%,29.19%,28.17%,28.95%,29.31%,29.70%,30.48%,31.95%,421002,440622,455297,472865,486726,558661,562562,610443,645278,643818,364253
,Kentucky,6.92%,8.97%,11.21%,12.59%,12.84%,12.64%,14.76%,16.53%,17.68%,18.46%,19.86%,27.37%,30.16%,32.41%,32.88%,32.75%,31.29%,32.91%,33.91%,34.00%,34.80%,36.44%,96306,112231,120123,126930,134879,169927,178804,183807,189748,188537,107700
,West Virginia,7.82%,10.71%,14.16%,16.38%,16.03%,14.00%,15.95%,15.83%,16.29%,16.21%,18.13%,26.50%,27.08%,29.85%,32.14%,32.99%,32.62%,33.73%,33.82%,34.91%,36.23%,38.66%,27976,31986,36850,41034,43835,49958,50926,59774,66070,69621,38284
,Pennsylvania,6.93%,8.15%,11.06%,12.27%,12.22%,11.94%,12.48%,12.88%,12.83%,13.34%,15.00%,21.06%,22.99%,24.43%,25.35%,25.47%,25.40%,26.01%,26.40%,26.44%,26.84%,28.41%,313519,378951,427998,461773,482313,580715,557891,573784,596663,585718,298111
,Michigan,7.47%,8.34%,9.98%,11.08%,11.23%,11.80%,12.80%,13.02%,12.46%,13.16%,14.87%,25.21%,25.31%,26.45%,27.06%,25.41%,25.67%,26.92%,26.91%,26.30%,27.63%,29.88%,204134,228338,241742,245889,303325,337890,327129,335649,376453,390610,216493
,Mississippi,4.01%,4.83%,5.21%,5.90%,7.60%,9.08%,10.53%,12.12%,13.84%,15.36%,16.93%,31.56%,31.58%,30.50%,31.60%,32.47%,31.79%,33.13%,34.07%,34.09%,35.92%,38.51%,38049,42052,53077,66634,70748,86609,92326,96007,100112,100916,50160
,Alabama,6.36%,11.59%,14.10%,14.44%,15.21%,13.52%,16.34%,16.83%,17.16%,18.18%,20.15%,24.64%,26.33%,27.21%,27.75%,28.94%,28.98%,32.03%,31.51%,31.21%,31.47%,33.39%,9645,10569,11481,13819,15438,25430,28232,35593,40225,41221,19250
,North Carolina,6.76%,8.26%,9.62%,10.66%,11.41%,10.89%,12.38%,13.15%,13.13%,14.00%,15.94%,24.25%,25.49%,26.26%,27.08%,27.23%,25.94%,27.87%,28.66%,28.91%,30.09%,32.16%,243748,264419,288823,323720,341876,437054,462220,484633,538545,540399,292827
,Arkansas,7.47%,8.66%,10.26%,11.63%,13.59%,15.49%,17.05%,18.76%,19.21%,20.70%,22.84%,32.45%,33.62%,34.38%,33.62%,32.71%,32.69%,34.06%,35.02%,34.35%,34.92%,36.79%,32725,38566,42624,49057,56258,65783,61694,60198,61369,60832,31720
,Louisiana,6.76%,9.06%,9.11%,9.39%,9.65%,9.41%,10.70%,11.80%,13.06%,14.07%,15.29%,25.35%,26.20%,27.33%,28.60%,28.69%,27.61%,28.98%,29.64%,30.60%,31.60%,33.02%,85471,95763,110071,120113,129909,157502,164319,180864,191986,194836,106589
,North Dakota,5.91%,7.19%,8.80%,9.84%,9.63%,9.50%,9.85%,10.43%,10.98%,11.76%,12.68%,25.42%,25.75%,25.97%,25.86%,24.92%,23.78%,23.36%,24.07%,24.42%,25.63%,26.87%,37896,39248,39745,41017,43161,45946,45609,44976,48258,49615,29524
,Indiana,6.29%,8.18%,10.52%,11.22%,10.83%,10.71%,11.25%,12.14%,12.55%,13.16%,14.83%,26.52%,27.76%,29.03%,30.30%,30.87%,31.30%,32.01%,32.19%,31.67%,32.22%,34.39%,118882,132561,142541,151831,156559,181662,188183,192103,196917,194253,105868
,Nova Scotia,,,,,,,,,,,,,,,,,,,,,,,10 or fewer,10 or fewer,10 or fewer,10 or fewer,10 or fewer,10 or fewer,11,13,15,13,10 or fewer
,Sonora,,,,,,,,,,,,,,,,,,,,,,,10 or fewer,10 or fewer,10 or fewer,10 or fewer,10 or fewer,10 or fewer,10 or fewer,10 or fewer,12,15,10 or fewer
,Rhode Island,4.68%,5.74%,7.04%,7.82%,8.35%,8.92%,9.56%,10.41%,11.60%,12.91%,14.73%,10.49%,12.57%,13.47%,14.07%,14.93%,14.73%,15.82%,18.16%,18.68%,19.65%,22.07%,30360,34686,35708,36468,34415,37602,41515,44142,51159,47318,23777
,Iowa,6.69%,8.14%,8.77%,8.79%,8.56%,8.90%,9.37%,10.05%,11.04%,12.57%,13.93%,24.01%,25.76%,26.28%,27.14%,27.17%,27.72%,28.42%,28.92%,29.20%,30.22%,31.84%,97493,101264,104541,108247,113355,124555,123134,128216,133890,140547,80261
