,Measures,Percentage with Has Any Encounters? preceded by Diagnosis (All): Obesity CCW definition within 24 months (%),,,,,,,,,,,Percentage with Has Any Encounters? preceded by BMI 30.0  or more within 24 months (%),,,,,,,,,,,Number of Patients,,,,,,,,,,
,,Jan 1 – Dec 31 2016,Jan 1 – Dec 31 2017,Jan 1 – Dec 31 2018,Jan 1 – Dec 31 2019,Jan 1 – Dec 31 2020,Jan 1 – Dec 31 2021,Jan 1 – Dec 31 2022,Jan 1 – Dec 31 2023,Jan 1 – Dec 31 2024,Jan 1 – Dec 31 2025,Jan 1 – Apr 14 2026,Jan 1 – Dec 31 2016,Jan 1 – Dec 31 2017,Jan 1 – Dec 31 2018,Jan 1 – Dec 31 2019,Jan 1 – Dec 31 2020,Jan 1 – Dec 31 2021,Jan 1 – Dec 31 2022,Jan 1 – Dec 31 2023,Jan 1 – Dec 31 2024,Jan 1 – Dec 31 2025,Jan 1 – Apr 14 2026,Jan 1 – Dec 31 2016,Jan 1 – Dec 31 2017,Jan 1 – Dec 31 2018,Jan 1 – Dec 31 2019,Jan 1 – Dec 31 2020,Jan 1 – Dec 31 2021,Jan 1 – Dec 31 2022,Jan 1 – Dec 31 2023,Jan 1 – Dec 31 2024,Jan 1 – Dec 31 2025,Jan 1 – Apr 14 2026
Age at Encounter in Years,State of Residence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Virginia,13.40%,15.09%,18.49%,21.40%,22.94%,23.83%,26.27%,26.72%,26.92%,27.57%,31.48%,41.43%,43.20%,45.20%,45.99%,46.29%,45.54%,47.48%,47.79%,48.67%,50.12%,53.69%,348195,398438,408334,427910,440275,491166,499790,539187,548310,550157,347737
,Kansas,14.28%,17.59%,20.61%,22.32%,23.21%,22.78%,24.55%,25.41%,27.57%,30.98%,33.93%,45.15%,47.31%,48.00%,49.15%,49.10%,46.75%,47.91%,47.97%,49.57%,52.20%,54.13%,62980,65440,67217,68391,68500,76020,75604,96052,104725,111593,80801
,Maine,13.29%,15.07%,19.19%,21.69%,22.33%,21.73%,24.43%,25.37%,26.54%,25.83%,28.35%,32.65%,34.77%,40.57%,42.56%,43.35%,42.47%,46.09%,47.12%,47.99%,47.39%,50.11%,50519,65079,68092,72401,71655,81087,81078,79153,80263,80532,55446
,Texas,17.03%,19.65%,22.78%,24.82%,25.80%,24.30%,26.96%,28.96%,29.75%,31.07%,34.07%,41.75%,43.35%,45.78%,47.01%,47.82%,45.93%,49.73%,51.15%,50.97%,52.25%,55.25%,503059,648878,734504,799041,846658,1096378,1075089,1138792,1269901,1343092,849188
,Oklahoma,13.01%,19.98%,22.59%,23.37%,23.11%,23.61%,25.23%,26.08%,27.12%,28.44%,31.62%,42.32%,40.97%,47.20%,50.86%,52.53%,52.26%,52.89%,52.35%,53.65%,55.33%,57.96%,74815,102294,124403,131889,133864,143052,149107,167563,181540,185126,117546
,New Jersey,11.75%,12.81%,16.62%,19.26%,21.95%,20.89%,23.16%,24.04%,24.84%,26.90%,31.79%,39.17%,39.35%,39.38%,41.49%,43.02%,40.22%,43.06%,44.25%,45.28%,47.16%,50.42%,78728,104428,153571,192740,210974,278957,304202,343917,376126,386551,234488
,Nebraska,15.18%,17.28%,17.95%,19.37%,20.14%,20.31%,21.71%,23.97%,25.36%,27.52%,30.29%,43.55%,46.43%,44.85%,47.31%,48.63%,49.41%,50.44%,51.35%,51.41%,53.56%,55.33%,31460,36568,49967,55864,59855,66690,69387,73881,83893,89154,61278
,New York,12.86%,14.59%,16.33%,18.57%,18.90%,19.11%,22.13%,24.17%,25.37%,26.83%,30.27%,36.62%,38.19%,39.51%,39.81%,38.00%,37.21%,41.58%,43.64%,44.36%,45.91%,49.20%,501847,554169,602989,674117,756026,943204,891207,909152,944802,952411,612637
,Montana,10.81%,12.45%,13.62%,21.85%,26.04%,27.26%,27.94%,25.65%,23.66%,24.12%,25.12%,36.52%,38.87%,40.30%,40.53%,39.72%,38.37%,39.94%,39.58%,42.63%,44.97%,48.01%,26140,27549,28173,28562,29303,32465,32317,39154,47093,49138,31713
,South Dakota,16.13%,19.51%,21.03%,23.07%,22.86%,21.83%,23.84%,26.00%,27.65%,29.68%,32.85%,46.47%,45.16%,42.50%,43.27%,42.40%,40.51%,43.15%,44.96%,45.98%,46.95%,49.04%,33327,34393,37579,37734,39235,43577,41714,41954,42845,43772,29163
,New Mexico,14.98%,16.79%,18.90%,20.55%,17.92%,18.10%,20.28%,22.55%,24.68%,25.66%,28.89%,45.76%,45.15%,46.86%,48.38%,45.31%,44.95%,47.93%,49.25%,50.17%,50.25%,53.59%,50724,57757,63723,66476,68407,73469,73669,75800,76969,78861,50206
,New Hampshire,10.45%,12.31%,15.37%,17.99%,18.60%,19.80%,20.88%,21.82%,23.74%,26.14%,28.69%,38.99%,37.95%,41.44%,43.39%,43.02%,44.06%,44.93%,45.83%,46.74%,47.75%,50.00%,55222,60393,61799,61663,61474,62469,62405,60685,60614,61756,42397
,Arizona,14.44%,15.44%,17.71%,19.24%,18.85%,17.56%,20.15%,23.39%,25.21%,27.43%,29.71%,40.31%,40.99%,42.97%,44.22%,41.24%,36.84%,38.74%,40.86%,42.30%,44.62%,47.24%,69228,80788,83379,84289,89510,114852,133110,151536,168394,176248,108353
,Utah,10.96%,11.95%,12.39%,13.20%,13.27%,21.49%,29.93%,31.72%,31.63%,26.03%,28.42%,32.93%,34.40%,35.31%,35.72%,35.30%,34.57%,35.86%,35.56%,35.94%,31.15%,36.74%,43652,46521,47829,50231,53054,64855,59790,65887,72097,137867,112468
,Oregon,16.43%,17.72%,18.43%,18.92%,18.47%,14.96%,18.42%,19.56%,21.49%,22.86%,25.33%,38.13%,39.85%,40.82%,41.20%,39.74%,32.47%,38.36%,40.42%,42.23%,42.83%,44.81%,144697,150821,162563,170416,178413,242521,204267,207327,214706,223410,147743
,Wyoming,14.79%,16.32%,17.06%,19.08%,20.56%,22.33%,24.20%,23.07%,23.63%,24.92%,27.29%,43.48%,45.16%,46.12%,46.29%,46.66%,46.24%,46.88%,46.41%,47.31%,48.19%,51.25%,11002,11186,11842,12408,12415,13917,14151,16023,17365,19553,12241
,California,12.56%,12.73%,14.43%,15.32%,15.32%,14.46%,17.21%,19.16%,20.79%,23.22%,26.23%,33.27%,32.93%,34.56%,35.81%,34.40%,31.17%,33.71%,35.45%,36.82%,38.45%,41.02%,311139,419561,470075,554733,653349,827079,827400,885278,1016938,1033840,643870
,Vermont,10.24%,11.49%,12.80%,15.49%,16.17%,16.00%,15.97%,16.28%,16.94%,18.25%,20.70%,37.16%,38.28%,38.24%,36.53%,34.96%,34.36%,35.30%,36.57%,37.32%,38.12%,40.15%,32198,32042,32129,35742,41624,45270,44911,46070,46723,46235,30521
,Nevada,16.04%,17.87%,18.34%,18.95%,13.85%,14.45%,19.20%,21.08%,22.49%,21.75%,26.19%,36.88%,35.43%,37.53%,39.44%,30.39%,29.95%,36.59%,38.45%,39.98%,40.63%,45.23%,38276,48823,63422,68973,100084,107363,90582,90178,96320,107640,59407
,Colorado,11.81%,13.40%,14.84%,17.23%,18.33%,17.67%,20.45%,20.47%,20.76%,21.81%,23.83%,30.49%,32.94%,35.01%,35.79%,35.46%,32.74%,36.46%,36.59%,37.85%,39.64%,42.16%,154738,171742,189921,201546,218866,280985,271327,294222,322103,325728,211729
,Washington,11.38%,12.59%,18.64%,20.66%,20.49%,18.15%,15.91%,15.67%,16.94%,18.33%,21.35%,36.13%,36.61%,38.35%,39.52%,39.09%,35.89%,34.74%,34.87%,37.27%,39.31%,42.44%,98224,106854,115630,119551,124720,141703,153513,181583,190080,190551,115230
,Alaska,15.68%,20.08%,23.13%,25.05%,23.76%,20.86%,20.63%,18.83%,20.68%,20.17%,21.43%,41.94%,44.84%,45.56%,46.27%,42.98%,41.92%,42.45%,42.62%,42.36%,41.45%,42.71%,1154,1280,1440,1461,1452,1529,1357,1349,1315,1269,672
,Hawaii,12.20%,14.15%,15.56%,16.11%,16.02%,13.36%,15.62%,17.86%,18.87%,19.90%,22.83%,29.72%,30.91%,32.16%,32.32%,31.83%,26.60%,30.52%,33.48%,34.94%,36.47%,39.47%,60017,61020,60698,61523,60055,77583,70252,71660,74231,72671,42208
,District of Columbia,9.86%,9.97%,10.80%,10.65%,10.93%,9.25%,14.46%,17.06%,16.70%,18.58%,22.82%,30.64%,30.35%,29.70%,31.26%,26.66%,26.18%,36.31%,39.23%,37.20%,39.93%,44.16%,1622,1855,2333,2572,3256,9689,12206,12864,15954,14921,7593
,"Total: Total includes all data under the ≥ 45 and &lt; 55 Years bucket, including data from rows not currently displayed.",15.37%,18.31%,21.73%,24.28%,25.18%,24.68%,26.95%,28.84%,30.09%,31.52%,34.61%,41.82%,43.13%,44.72%,46.01%,45.88%,44.30%,46.72%,48.08%,48.90%,50.19%,53.02%,8574976,9640376,10429875,11080776,11640464,13730783,13957613,14903238,15924533,16354154,10722909
≥ 55 and < 65 Years,Puerto Rico,15.23%,15.27%,21.81%,20.19%,23.42%,21.60%,22.13%,46.70%,49.87%,51.26%,54.52%,36.20%,37.62%,41.57%,39.75%,44.07%,39.77%,38.09%,49.87%,51.87%,52.87%,55.53%,453,537,587,639,649,787,827,4075,9276,11712,7735
,Ohio,16.42%,21.84%,26.64%,31.83%,33.27%,32.53%,33.17%,36.17%,37.82%,39.79%,40.70%,46.69%,48.61%,49.66%,50.71%,51.27%,50.35%,50.88%,52.05%,53.46%,54.88%,56.49%,885334,925980,965947,986745,992761,1081979,1071339,1164645,1192795,1192052,891998
,Kentucky,17.05%,22.49%,27.14%,29.66%,30.79%,30.06%,32.88%,36.71%,38.76%,40.21%,42.07%,47.24%,49.73%,52.00%,52.76%,53.26%,51.90%,53.37%,54.97%,55.58%,56.50%,58.36%,223333,253408,274533,286916,292575,337017,349623,357224,359117,358297,262674
,West Virginia,17.24%,24.24%,31.13%,36.19%,36.97%,33.75%,32.44%,30.35%,32.67%,34.66%,36.83%,47.57%,47.26%,49.28%,51.79%,53.04%,52.77%,54.16%,53.14%,55.30%,57.97%,61.13%,59352,69355,84025,92458,97172,106465,106875,124866,139597,144490,102198
,Pennsylvania,16.76%,20.04%,28.69%,32.09%,33.08%,31.59%,31.59%,33.11%,33.63%,34.01%,35.24%,42.69%,44.74%,45.93%,47.15%,47.84%,46.91%,48.17%,49.25%,49.78%,50.60%,52.33%,681225,824156,945773,1019997,1040522,1191112,1163543,1176006,1188462,1177645,765887
,Michigan,19.56%,22.62%,26.61%,29.58%,29.78%,31.51%,34.41%,35.48%,34.67%,36.91%,39.17%,45.83%,46.09%,47.05%,47.89%,45.38%,46.22%,48.58%,49.30%,47.83%,50.07%,52.68%,375845,427829,452182,459528,579793,630001,602272,607341,718142,760985,568802
,Mississippi,13.62%,15.27%,16.16%,17.28%,22.47%,25.06%,28.29%,32.34%,36.78%,39.34%,42.61%,48.77%,47.40%,45.38%,46.89%,49.15%,48.63%,51.51%,53.28%,54.55%,56.49%,59.50%,86247,96995,129986,167909,169071,194959,205457,212421,220834,223684,154155
,Alabama,20.56%,31.39%,35.96%,36.07%,37.26%,32.57%,36.16%,38.08%,39.26%,40.76%,44.80%,47.80%,48.37%,49.46%,49.45%,50.25%,47.43%,50.01%,50.55%,51.01%,52.20%,55.62%,38022,41713,43990,51516,53966,81648,86254,91785,92519,91040,57251
,North Carolina,17.28%,21.87%,25.82%,28.69%,31.02%,29.47%,33.08%,35.02%,35.26%,35.48%,36.55%,45.72%,46.85%,47.81%,48.89%,49.96%,47.43%,49.88%,51.17%,51.82%,52.54%,54.52%,512329,561106,610963,675844,691913,845574,873305,907547,994540,1015540,739543
,Arkansas,14.60%,17.95%,22.38%,24.28%,27.53%,30.60%,33.04%,37.80%,39.75%,41.81%,45.23%,45.53%,48.05%,49.19%,49.00%,48.77%,48.79%,49.30%,50.65%,50.77%,51.95%,54.69%,79403,92787,98877,109519,113783,124361,120047,121180,124306,122115,82940
,Louisiana,20.74%,27.27%,28.03%,29.13%,29.08%,27.99%,29.87%,32.16%,34.09%,35.87%,38.12%,45.51%,46.53%,47.63%,49.42%,50.04%,48.15%,49.82%,51.26%,52.55%,53.88%,55.90%,194414,210807,233950,251321,258819,289919,307704,319004,337523,339260,247563
,North Dakota,20.48%,24.23%,27.06%,29.29%,29.71%,30.11%,30.76%,31.98%,33.39%,35.56%,37.21%,50.16%,50.39%,49.66%,49.20%,48.16%,47.73%,47.91%,48.43%,50.67%,52.48%,53.65%,57844,60368,61923,64019,64828,66394,66025,66221,70068,69233,50646
,Indiana,16.63%,21.96%,27.23%,29.64%,30.47%,29.25%,29.56%,31.50%,32.91%,34.74%,36.57%,46.99%,48.45%,49.91%,51.26%,52.04%,52.35%,53.30%,53.95%,54.34%,55.42%,57.17%,242083,265988,285679,304209,308879,342171,350683,353059,355063,353863,252653
,Nova Scotia,,,,,,,,,,,,,34.38%,,35.29%,,,,48.28%,34.38%,,,27,32,33,34,25,22,27,29,32,27,10 or fewer
,Sonora,,,,,,,,,,,,,,,,,,,,,,,10 or fewer,10 or fewer,10 or fewer,10 or fewer,10 or fewer,10 or fewer,10 or fewer,10 or fewer,10 or fewer,10 or fewer,10 or fewer
,Rhode Island,11.57%,14.24%,17.45%,19.92%,21.32%,23.34%,23.65%,24.80%,26.89%,29.57%,32.41%,25.34%,29.28%,31.44%,33.43%,34.16%,34.00%,35.04%,39.01%,39.77%,42.00%,45.66%,64433,73716,76423,79211,77554,82809,88055,90846,98992,93516,63105
,Iowa,20.89%,24.53%,26.41%,26.86%,25.89%,25.42%,26.81%,28.51%,31.20%,35.19%,37.22%,46.60%,48.49%,49.35%,49.96%,49.86%,49.55%,51.26%,52.30%,53.90%,56.04%,58.02%,155922,161861,167643,172594,176377,187794,183731,190280,196882,214138,154000
,Delaware,9.63%,14.44%,22.13%,26.11%,27.52%,28.80%,32.48%,33.86%,34.68%,35.06%,34.47%,38.23%,43.42%,46.79%,49.12%,50.03%,49.94%,52.61%,53.47%,53.97%,54.52%,54.39%,23729,33663,38436,42597,44677,52337,52326,55374,56509,59515,42374
,South Carolina,12.77%,16.16%,20.85%,23.82%,25.29%,23.90%,25.79%,27.27%,29.01%,29.57%,30.97%,40.05%,42.84%,45.20%,47.08%,47.95%,46.01%,48.62%,50.62%,52.17%,52.93%,54.40%,185963,227907,244623,277424,294337,373273,421046,467364,484179,489376,363224
,Massachusetts,16.59%,17.12%,19.25%,24.06%,26.12%,26.14%,27.12%,28.91%,29.76%,30.48%,33.16%,35.85%,35.31%,38.09%,40.76%,41.26%,39.91%,40.60%,42.47%,43.54%,43.32%,44.98%,186671,240839,291317,305825,308230,341881,378256,403546,453100,482636,354454
,Maryland,12.61%,16.30%,20.46%,24.43%,25.45%,23.82%,28.36%,30.00%,31.13%,32.73%,36.00%,40.83%,43.07%,43.53%,45.47%,45.30%,41.10%,46.95%,48.57%,49.67%,51.22%,53.97%,109154,134153,162436,191678,211279,267715,243840,248915,254164,254958,167831
,Tennessee,11.88%,13.36%,16.69%,19.44%,22.39%,23.95%,26.15%,28.66%,29.17%,31.11%,34.73%,45.54%,44.09%,45.82%,47.01%,46.74%,45.58%,47.06%,47.46%,46.36%,50.44%,54.65%,76794,100323,113837,121675,128870,149165,156165,163915,189596,219989,146479
,Wisconsin,18.04%,19.26%,20.66%,21.95%,22.34%,23.22%,25.76%,27.52%,29.52%,31.97%,33.04%,47.17%,47.38%,47.91%,48.45%,47.58%,47.38%,49.17%,50.24%,51.20%,52.48%,53.48%,372354,388235,401013,413957,431785,470665,452975,450167,445256,433939,317059
,Missouri,13.66%,16.71%,19.88%,22.06%,23.75%,26.04%,28.97%,30.01%,31.78%,33.31%,35.74%,44.36%,47.27%,49.10%,50.95%,51.39%,49.83%,50.33%,51.43%,52.37%,53.30%,56.13%,71100,84815,93507,99652,102238,112361,113038,129317,133664,132403,91554
,Illinois,11.88%,14.20%,15.85%,19.08%,22.08%,24.41%,27.02%,28.25%,29.63%,31.33%,33.05%,42.20%,43.57%,44.55%,45.54%,46.65%,46.75%,48.87%,49.52%,50.57%,52.00%,54.50%,483968,512648,556234,604315,620902,679065,658599,679737,700319,697889,486440
,Idaho,13.07%,15.60%,17.70%,19.23%,20.18%,21.59%,24.58%,26.90%,28.18%,28.48%,31.10%,34.61%,37.70%,39.52%,40.67%,41.68%,41.98%,44.14%,45.52%,46.55%,45.96%,48.27%,65262,72828,76126,83226,87003,95610,105290,107875,111203,112361,76856
,Connecticut,13.25%,15.29%,17.62%,19.55%,20.55%,21.38%,23.96%,26.34%,28.44%,29.13%,31.05%,38.26%,39.28%,41.43%,43.05%,43.42%,42.83%,45.27%,46.61%,47.68%,47.27%,49.24%,221104,259479,289008,309143,332873,369056,357827,356819,364389,380042,277975
,Georgia,17.09%,18.91%,21.80%,24.54%,26.70%,25.95%,26.97%,28.61%,30.67%,31.75%,35.61%,41.73%,41.47%,42.26%,45.47%,47.55%,46.68%,47.44%,48.41%,49.84%,51.26%,54.56%,212706,267087,326025,369069,380297,451232,510232,581641,614161,625392,407419
,Minnesota,18.79%,20.49%,22.72%,24.72%,25.81%,25.21%,27.79%,29.38%,31.26%,33.77%,35.02%,45.94%,45.71%,45.97%,46.66%,46.50%,44.24%,46.48%,47.46%,48.98%,51.12%,51.59%,269879,285847,296991,306813,304972,342493,313276,312509,309893,298211,199456
,Florida,15.35%,17.90%,20.99%,23.14%,23.62%,22.62%,22.95%,25.91%,28.45%,30.23%,33.59%,38.10%,39.58%,40.32%,40.92%,40.07%,38.49%,38.40%,41.95%,44.16%,45.92%,48.81%,329587,373740,397338,414008,438036,580319,835155,1014026,1082866,1165721,765801
,Virginia,13.55%,15.11%,18.50%,21.45%,23.08%,24.21%,26.57%,26.86%,27.27%,27.71%,30.63%,41.14%,42.80%,44.74%,45.61%,46.08%,45.61%,47.27%,47.31%,48.49%,49.78%,52.62%,372341,444263,469073,501953,522815,578210,590613,631552,636143,636008,427589
,Kansas,14.78%,18.04%,21.03%,22.99%,23.86%,23.80%,25.43%,26.09%,28.22%,31.55%,33.51%,46.56%,48.40%,48.81%,49.69%,49.43%,47.84%,48.79%,48.57%,50.21%,52.40%,53.81%,77457,82454,87211,89973,90509,97304,94967,114137,121215,125506,93505
,Maine,13.27%,14.94%,18.82%,20.98%,21.85%,21.53%,24.31%,24.94%,26.20%,25.10%,26.83%,32.92%,34.27%,39.38%,41.05%,42.33%,41.95%,45.48%,46.26%,47.38%,46.73%,48.93%,63601,83510,89515,98554,99133,112052,111472,107514,106895,106403,75703
,Texas,16.71%,19.09%,22.30%,24.45%,25.62%,24.41%,26.72%,28.41%,29.03%,30.24%,32.37%,41.44%,42.74%,44.89%,46.05%,46.73%,45.19%,48.48%,49.82%,49.56%,50.62%,53.17%,527444,694641,796234,876096,923763,1168200,1133834,1180322,1300507,1368006,912786
,Oklahoma,13.47%,20.11%,22.73%,23.72%,23.29%,23.64%,25.15%,25.67%,26.74%,28.36%,30.85%,42.31%,40.09%,46.29%,49.49%,50.89%,50.49%,50.92%,50.27%,51.42%,53.46%,55.63%,88136,122349,149962,161030,162202,170809,172790,191554,203887,204245,135785
,New Jersey,10.91%,12.16%,16.44%,19.56%,22.43%,21.42%,23.33%,23.99%,24.57%,26.50%,30.47%,39.76%,39.61%,39.98%,42.03%,43.75%,40.64%,43.06%,44.11%,44.86%,46.47%,49.35%,89762,122147,182379,231778,257196,342062,380376,426822,464351,475535,307758
,Nebraska,14.34%,16.12%,17.27%,19.01%,20.06%,20.20%,21.52%,23.75%,24.84%,27.17%,29.80%,43.13%,46.11%,44.51%,46.56%,48.15%,48.67%,49.82%,50.69%,50.36%,52.71%,54.90%,38102,45610,64330,72779,77282,84033,85686,87295,96603,99569,69092
,New York,12.60%,14.36%,16.22%,18.50%,19.22%,19.66%,22.06%,23.76%,24.86%,26.14%,28.81%,37.41%,38.82%,40.20%,40.27%,39.17%,38.82%,42.16%,43.71%,44.34%,45.54%,48.31%,539331,611624,691846,796606,897404,1113758,1092833,1123436,1165826,1180506,800440
,Montana,9.91%,11.43%,12.64%,21.85%,26.26%,27.65%,28.55%,25.65%,23.40%,24.49%,25.05%,36.36%,38.76%,39.83%,40.33%,39.95%,38.58%,39.78%,39.30%,41.64%,44.57%,48.00%,32902,35553,36930,37765,37554,39998,38462,45233,54191,54750,36307
,South Dakota,17.81%,20.26%,21.00%,22.87%,23.01%,21.60%,23.51%,25.14%,26.63%,28.98%,32.32%,47.19%,44.97%,42.14%,42.63%,41.98%,39.66%,42.40%,43.92%,45.24%,46.64%,48.85%,37408,40552,46768,47691,49039,53882,50174,48589,47691,46933,31594
,New Mexico,14.38%,15.72%,17.36%,19.12%,16.70%,16.73%,18.41%,20.46%,22.67%,24.14%,26.63%,43.04%,42.00%,43.16%,44.80%,41.86%,40.91%,43.47%,45.17%,46.73%,46.87%,49.85%,58632,70284,79568,84817,87181,93988,93083,94035,93663,93914,62036
,New Hampshire,10.37%,11.94%,15.16%,17.60%,18.45%,19.68%,20.67%,20.85%,22.07%,24.59%,26.72%,38.37%,37.04%,40.56%,42.13%,41.78%,42.67%,43.22%,43.80%,44.80%,46.05%,48.00%,63989,73354,78299,81275,83154,86783,87596,86079,86308,88827,63046
,Arizona,13.19%,14.13%,16.08%,17.96%,18.14%,16.96%,19.38%,21.80%,23.45%,25.42%,26.14%,39.12%,39.06%,40.75%,41.97%,39.89%,35.87%,38.13%,39.56%,40.66%,42.78%,44.31%,80613,97141,103739,107145,112687,141648,157408,175007,191283,199307,129045
,Utah,11.29%,11.86%,12.33%,13.45%,13.67%,21.13%,28.85%,30.56%,31.03%,26.21%,28.49%,33.68%,34.62%,35.32%,35.95%,35.21%,34.02%,34.82%,34.40%,35.42%,30.45%,35.87%,47332,50635,52075,53800,54177,62599,56972,60587,63795,125678,104248
,Oregon,16.23%,17.61%,18.47%,19.07%,19.29%,16.32%,19.63%,20.82%,22.55%,23.81%,25.58%,38.02%,39.50%,40.30%,40.83%,40.32%,33.94%,39.15%,41.16%,42.89%,43.57%,45.11%,163090,171248,183857,191094,193285,249050,213306,212115,215568,221375,153196
,Wyoming,14.90%,15.67%,16.48%,18.50%,19.85%,21.95%,23.37%,22.36%,22.25%,23.49%,26.23%,42.17%,42.48%,43.61%,44.02%,44.36%,44.41%,44.56%,44.15%,44.62%,46.32%,49.77%,14714,15701,16932,18012,18217,19175,19049,20946,21775,23668,15239
,California,12.94%,12.74%,14.30%,15.31%,15.58%,14.74%,17.27%,18.88%,20.27%,22.41%,24.81%,34.05%,33.37%,34.59%,35.71%,34.77%,31.74%,33.76%,35.02%,36.10%,37.26%,39.34%,330930,462771,532732,634804,730265,898740,898292,952104,1079326,1095079,713761
,Vermont,9.20%,10.06%,11.47%,14.50%,15.71%,15.98%,15.64%,16.07%,16.72%,18.12%,20.07%,36.60%,37.40%,37.30%,35.76%,35.10%,34.57%,35.28%,36.28%,37.11%,38.50%,40.36%,41860,43348,45075,50185,56488,60707,60025,60109,60206,59200,40325
,Nevada,16.61%,18.40%,19.37%,20.15%,16.56%,16.57%,19.85%,21.54%,23.09%,22.03%,25.78%,36.07%,35.18%,36.71%,38.71%,32.17%,31.73%,36.19%,37.54%,39.01%,38.70%,42.98%,43952,55987,70309,77299,98874,111990,98871,100098,105616,120287,72098
,Colorado,12.64%,14.16%,15.59%,17.90%,19.29%,18.64%,21.31%,20.94%,21.14%,22.18%,23.80%,31.43%,33.13%,34.84%,35.36%,35.49%,32.82%,36.17%,35.95%,37.32%,39.06%,41.33%,169816,190393,210298,224563,238731,295054,282060,297612,326772,326776,220771
,Washington,12.10%,13.09%,18.75%,20.72%,20.66%,18.38%,15.91%,15.72%,17.11%,18.62%,21.20%,37.77%,37.67%,38.69%,39.66%,39.18%,36.03%,34.98%,35.29%,37.69%,39.55%,42.59%,102152,115741,129137,135659,141061,156898,165817,191573,197538,197420,125218
,Alaska,13.66%,14.36%,18.64%,20.32%,20.48%,19.17%,18.89%,17.63%,17.79%,17.01%,15.88%,39.70%,38.82%,40.42%,40.54%,40.03%,37.80%,38.90%,38.28%,38.24%,39.31%,40.74%,1325,1623,1905,1929,1846,2024,1789,1821,1731,1623,869
,Hawaii,11.89%,13.66%,14.79%,15.31%,15.47%,13.32%,15.38%,17.16%,18.04%,18.48%,20.73%,28.11%,29.48%,30.05%,30.41%,30.44%,26.21%,29.33%,31.45%,32.83%,33.89%,36.40%,65948,68978,70255,72850,71769,89453,81717,83201,85388,84131,51825
,District of Columbia,8.40%,9.61%,10.90%,11.49%,12.02%,9.23%,13.02%,15.86%,16.42%,18.83%,22.47%,29.20%,29.62%,29.92%,31.77%,30.33%,29.62%,37.85%,40.64%,38.67%,41.21%,44.66%,1428,1624,1955,2254,2463,8926,12480,12859,14967,14184,7796
,"Total: Total includes all data under the ≥ 55 and &lt; 65 Years bucket, including data from rows not currently displayed.",15.48%,18.27%,21.63%,24.15%,25.23%,24.82%,26.71%,28.39%,29.60%,30.98%,33.30%,42.04%,42.96%,44.20%,45.26%,45.29%,43.85%,45.75%,46.93%,47.75%,48.91%,51.33%,9417263,10861755,12029806,13038366,13739435,16031237,16296123,17208001,18186475,18614262,12840004
65 Years or more,Puerto Rico,7.06%,8.66%,11.52%,14.61%,14.09%,12.85%,14.40%,32.75%,34.97%,35.88%,39.27%,26.66%,26.29%,29.56%,31.30%,31.89%,31.06%,30.60%,37.02%,37.74%,38.13%,40.63%,694,970,981,917,809,1027,1160,4938,10419,13596,9209
,Ohio,12.49%,17.54%,22.34%,27.66%,29.43%,29.20%,30.02%,32.88%,34.30%,35.48%,34.95%,40.91%,43.18%,44.45%,45.63%,46.15%,45.25%,45.24%,46.00%,46.52%,47.15%,47.39%,1126148,1201578,1277915,1335853,1391013,1576141,1625444,1848320,1951037,2015239,1693050
,Kentucky,12.95%,17.78%,22.05%,24.97%,26.51%,25.82%,27.69%,30.38%,31.68%,32.32%,33.02%,38.98%,41.96%,44.25%,45.15%,45.77%,44.54%,45.17%,46.46%,46.60%,46.83%,47.53%,282890,323650,357932,383276,398711,463764,498978,527049,545270,562178,455215
,West Virginia,12.69%,16.75%,22.43%,27.00%,28.26%,25.98%,24.12%,22.02%,24.39%,26.69%,28.44%,39.13%,38.98%,41.45%,44.02%,45.22%,44.52%,45.30%,44.02%,45.75%,47.70%,49.63%,78231,96462,118398,131686,142831,160635,169415,209067,242310,259400,202724
,Pennsylvania,13.57%,16.33%,23.91%,27.30%,28.80%,27.07%,26.48%,27.27%,27.80%,27.94%,28.16%,37.99%,40.32%,41.51%,42.80%,43.43%,42.07%,42.91%,43.60%,43.54%,43.59%,44.34%,912137,1119152,1321547,1452057,1519292,1786050,1811213,1901342,1986749,2049268,1468044
,Michigan,15.48%,19.14%,23.06%,25.90%,26.81%,28.93%,31.17%,31.91%,31.01%,33.10%,34.55%,41.28%,42.04%,43.17%,44.18%,41.93%,42.69%,43.95%,44.44%,42.51%,44.24%,45.90%,491393,565842,603750,631380,820519,912090,926315,965072,1190254,1284833,1038427
,Mississippi,10.75%,12.45%,13.01%,14.30%,18.14%,19.91%,22.32%,25.92%,29.47%,31.44%,33.24%,40.35%,39.75%,37.33%,38.64%,40.47%,39.77%,41.82%,43.27%,43.91%,44.92%,46.34%,123505,139921,197977,253804,260670,303596,326180,347794,373763,387224,297775
,Alabama,17.63%,22.31%,25.68%,25.56%,26.98%,24.23%,26.76%,28.41%,29.38%,30.54%,33.22%,39.43%,40.04%,41.14%,40.48%,40.99%,38.63%,40.09%,40.55%,40.91%,41.57%,43.62%,51635,58456,62686,77451,83432,127504,136869,148922,157368,161449,115106
