age	geography	time	obesity_dx_ccw	obesity_bmi	diabetes_dx_ccw	diabetes_a1c_6_5	n_patients_chronic
<18 Years	02282	2023-01-01	NA	NA	NA	NA	NA
<18 Years	08039	2023-01-01	2.09	3.05	0.7	NA	1867
<18 Years	08031	2023-01-01	3.8	5.85	0.38	0.22	82831
<18 Years	08053	2023-01-01	NA	NA	NA	NA	12
<18 Years	06059	2023-01-01	8.05	4	0.19	0.04	72311
<18 Years	06051	2023-01-01	NA	NA	NA	NA	67
<18 Years	06041	2023-01-01	16.72	6.18	0.24	NA	14734
<18 Years	06109	2023-01-01	2.96	5.92	2.51	NA	439
<18 Years	02275	2023-01-01	NA	NA	NA	NA	NA
<18 Years	08014	2023-01-01	2.01	2.38	0.59	0.39	6129
<18 Years	08059	2023-01-01	2.4	3.5	0.57	0.34	38668
<18 Years	06085	2023-01-01	5	5.08	0.53	0.43	86048
<18 Years	06115	2023-01-01	NA	2.78	NA	NA	539
<18 Years	08047	2023-01-01	NA	NA	NA	NA	204
<18 Years	02220	2023-01-01	NA	NA	NA	NA	NA
<18 Years	08045	2023-01-01	5.28	5.18	NA	NA	966
<18 Years	08007	2023-01-01	NA	NA	NA	NA	106
<18 Years	06017	2023-01-01	1.02	2.78	NA	NA	2737
<18 Years	06079	2023-01-01	4.86	5.91	3.09	1.45	1522
<18 Years	05015	2023-01-01	4.18	6.39	NA	NA	814
<18 Years	08079	2023-01-01	NA	NA	NA	NA	20
<18 Years	06011	2023-01-01	NA	NA	NA	NA	151
<18 Years	08019	2023-01-01	NA	NA	NA	NA	168
<18 Years	08035	2023-01-01	1.41	1.8	0.52	0.38	36795
<18 Years	08015	2023-01-01	NA	2.83	NA	NA	389
<18 Years	08013	2023-01-01	1.98	2.71	0.48	0.28	28676
<18 Years	06075	2023-01-01	13.04	5.73	0.29	0.19	34775
<18 Years	06081	2023-01-01	5.79	4.1	0.54	0.45	43702
<18 Years	02105	2023-01-01	NA	NA	NA	NA	NA
<18 Years	02164	2023-01-01	NA	NA	NA	NA	NA
<18 Years	08049	2023-01-01	NA	3.32	NA	NA	422
<18 Years	06101	2023-01-01	NA	4.26	NA	NA	399
<18 Years	06061	2023-01-01	1.77	2.29	0.52	NA	3840
<18 Years	06099	2023-01-01	6.91	8.33	2.22	0.68	11285
<18 Years	08065	2023-01-01	NA	NA	NA	NA	140
<18 Years	08107	2023-01-01	1.19	1.99	0.6	NA	3016
<18 Years	08091	2023-01-01	NA	NA	NA	NA	33
<18 Years	05143	2023-01-01	5.55	6.14	0.92	0.76	19750
<18 Years	08051	2023-01-01	NA	NA	NA	NA	216
<18 Years	06113	2023-01-01	2.82	2.29	NA	NA	3977
<18 Years	08067	2023-01-01	4.44	5.07	NA	NA	631
<18 Years	05087	2023-01-01	4.61	6.58	1.07	0.99	1216
<18 Years	06057	2023-01-01	NA	NA	NA	NA	439
<18 Years	04005	2023-01-01	NA	NA	NA	NA	251
<18 Years	05007	2023-01-01	3.74	4.56	0.93	0.77	18121
<18 Years	08111	2023-01-01	NA	NA	NA	NA	NA
<18 Years	08117	2023-01-01	2.11	2.11	NA	NA	522
<18 Years	06111	2023-01-01	1.68	1.26	0.35	NA	3164
<18 Years	08037	2023-01-01	3.49	2.93	1.95	NA	717
<18 Years	08097	2023-01-01	NA	NA	NA	NA	581
<18 Years	08113	2023-01-01	NA	NA	NA	NA	151
18-25 Years	02158	2023-01-01	NA	NA	NA	NA	NA
18-25 Years	01131	2023-01-01	NA	NA	NA	NA	28
18-25 Years	01027	2023-01-01	NA	NA	NA	NA	27
18-25 Years	01023	2023-01-01	14.1	47.87	NA	NA	376
18-25 Years	01127	2023-01-01	NA	43.33	NA	NA	30
18-25 Years	01029	2023-01-01	NA	50	NA	NA	72
18-25 Years	01009	2023-01-01	NA	27.87	NA	NA	61
18-25 Years	02290	2023-01-01	NA	NA	NA	NA	NA
18-25 Years	01091	2023-01-01	NA	41.51	NA	NA	53
18-25 Years	01121	2023-01-01	NA	44.74	NA	NA	76
18-25 Years	01025	2023-01-01	17.72	31.65	NA	NA	158
18-25 Years	05093	2023-01-01	20.06	42.26	2.58	1.58	698
18-25 Years	01037	2023-01-01	NA	NA	NA	NA	NA
18-25 Years	01017	2023-01-01	12.24	35.02	NA	NA	237
18-25 Years	01119	2023-01-01	15.26	38.55	NA	NA	249
18-25 Years	01109	2023-01-01	NA	37.88	NA	NA	66
18-25 Years	01095	2023-01-01	12.64	29.89	NA	NA	87
18-25 Years	01063	2023-01-01	NA	27.5	NA	NA	40
18-25 Years	01129	2023-01-01	11.44	37.29	NA	NA	236
18-25 Years	02013	2023-01-01	NA	NA	NA	NA	NA
18-25 Years	01097	2023-01-01	16.2	34.64	3.34	1.68	6672
18-25 Years	01011	2023-01-01	NA	NA	NA	NA	NA
18-25 Years	01015	2023-01-01	14.08	37.55	3.97	NA	277
18-25 Years	01099	2023-01-01	11.81	35.43	NA	NA	127
18-25 Years	05111	2023-01-01	23.61	45.11	2.62	2.22	991
18-25 Years	05067	2023-01-01	16.59	37.56	NA	NA	205
18-25 Years	05075	2023-01-01	22.06	41.91	NA	NA	272
18-25 Years	01055	2023-01-01	17.34	39.69	2.89	NA	519
18-25 Years	05123	2023-01-01	23.62	42.21	NA	NA	199
18-25 Years	01111	2023-01-01	14.63	34.15	NA	NA	123
18-25 Years	05121	2023-01-01	24.87	41.8	NA	NA	189
18-25 Years	10001	2023-01-01	17.84	36.59	2.49	1.71	7545
18-25 Years	05099	2023-01-01	17.99	39.33	NA	NA	239
18-25 Years	01071	2023-01-01	8.27	24.81	NA	NA	133
18-25 Years	01047	2023-01-01	NA	NA	NA	NA	17
18-25 Years	01043	2023-01-01	NA	NA	NA	NA	38
18-25 Years	01087	2023-01-01	NA	NA	NA	NA	29
18-25 Years	01115	2023-01-01	NA	25	NA	NA	68
18-25 Years	01133	2023-01-01	NA	NA	NA	NA	27
18-25 Years	01005	2023-01-01	7.65	44.71	NA	NA	170
