age	county	bmi_30_49.8	obesity_(%)	n_obesity_county	Year
18-24 Years	BUFFALO, WI	22.76%	8.67%	369	1/1/2025 - 10/30/2025
18-24 Years	DODGE, WI	27.89%	10.37%	1997	1/1/2025 - 10/30/2025
18-24 Years	RACINE, WI	30.27%	11.12%	7129	1/1/2025 - 10/30/2025
18-24 Years	OUTAGAMIE, WI	27.34%	10.90%	4513	1/1/2025 - 10/30/2025
18-24 Years	ADAMS, WI	27.86%	9.47%	359	1/1/2025 - 10/30/2025
18-24 Years	FOND DU LAC, WI	30.39%	12.86%	2567	1/1/2025 - 10/30/2025
18-24 Years	GRANT, WI	28.20%	6.94%	922	1/1/2025 - 10/30/2025
18-24 Years	BARRON, WI	27.54%	8.19%	403	1/1/2025 - 10/30/2025
18-24 Years	LANGLADE, WI	28.43%	12.75%	102	1/1/2025 - 10/30/2025
18-24 Years	JEFFERSON, WI	24.38%	9.73%	1706	1/1/2025 - 10/30/2025
18-24 Years	TREMPEALEAU, WI	26.17%	11.05%	1177	1/1/2025 - 10/30/2025
18-24 Years	MONROE, WI	26.39%	12.43%	1512	1/1/2025 - 10/30/2025
18-24 Years	KENOSHA, WI	29.84%	11.79%	7192	1/1/2025 - 10/30/2025
18-24 Years	ASOTIN, WA	42.31%	NA	52	1/1/2025 - 10/30/2025
18-24 Years	LINCOLN, WA	NA	NA	23	1/1/2025 - 10/30/2025
18-24 Years	JUNEAU, WI	27.97%	13.01%	615	1/1/2025 - 10/30/2025
18-24 Years	LARAMIE, WY	31.90%	11.48%	3580	1/1/2025 - 10/30/2025
18-24 Years	BAYFIELD, WI	24.33%	10.70%	374	1/1/2025 - 10/30/2025
18-24 Years	WAYNE, WV	39.42%	20.60%	1238	1/1/2025 - 10/30/2025
18-24 Years	CRAWFORD, WI	22.43%	6.79%	486	1/1/2025 - 10/30/2025
18-24 Years	MONONGALIA, WV	31.68%	12.79%	6167	1/1/2025 - 10/30/2025
18-24 Years	SKAGIT, WA	34.61%	10.42%	4845	1/1/2025 - 10/30/2025
18-24 Years	EAU CLAIRE, WI	26.66%	9.07%	1973	1/1/2025 - 10/30/2025
18-24 Years	PUTNAM, WV	29.65%	12.64%	1123	1/1/2025 - 10/30/2025
18-24 Years	MONROE, WV	39.55%	12.69%	134	1/1/2025 - 10/30/2025
18-24 Years	ASHLAND, WI	30.51%	14.34%	495	1/1/2025 - 10/30/2025
18-24 Years	CLAY, WV	31.49%	12.11%	289	1/1/2025 - 10/30/2025
