Session Title,OBESITY by ICD and BMI County KYNY Age 2026,,,
Session ID,2818141,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"State of Residence: Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York",Country of Residence: United States of America,Has Any Encounters?,Base Patient
Session Date Range,1/1/2026 - 3/30/2026,,,
Export User,Stephanie Perniciaro,,,
Date of Export,5/4/2026,,,
,,,,
,,,,
Measures,BMI 30+ (%),OBESITY (%),Number of Patients,
County of Residence,,,,
"BOX BUTTE, NE",46.91%,23.37%,1891,
"ADAMS, MS",46.83%,14.22%,2398,
"CORTLAND, NY",46.82%,25.82%,20643,
"MONTCALM, MI",46.81%,28.78%,34576,
"GREELEY, NE",46.79%,21.47%,312,
"BARTON, MO",46.76%,21.50%,293,
"JACKSON, MS",46.75%,26.53%,55509,
"MASON, KY",46.72%,24.16%,2517,
"DORCHESTER, MD",46.72%,25.88%,17187,
"OSAGE, MO",46.72%,28.47%,137,
"PRENTISS, MS",46.70%,22.58%,10983,
"CARTER, MO",46.68%,58.37%,1523,
"MARIES, MO",46.68%,26.52%,2078,
"GARRETT, MD",46.64%,24.14%,13771,
"PERRY, MO",46.64%,61.02%,1801,
"OWEN, KY",46.64%,26.71%,3849,
"ITAWAMBA, MS",46.63%,23.40%,11039,
"SAINT LANDRY, LA",46.62%,25.72%,15428,
"TISHOMINGO, MS",46.61%,19.48%,8947,
"PISCATAQUIS, ME",46.59%,27.42%,1674,
"GAGE, NE",46.59%,30.18%,12712,
"WEBSTER, NE",46.59%,23.47%,1129,
"CALCASIEU, LA",46.59%,21.24%,38190,
"GREENE, NY",46.53%,32.55%,21165,
"MONTGOMERY, NY",46.49%,25.20%,7864,
"BOONE, NE",46.49%,19.36%,940,
"IBERIA, LA",46.47%,25.36%,12699,
"GENESEE, NY",46.38%,23.04%,31532,
"LIVINGSTON, MO",46.37%,27.39%,6649,
"ANNE ARUNDEL, MD",46.32%,40.37%,119382,
"PENOBSCOT, ME",46.31%,30.61%,33417,
"BAY, MI",46.29%,24.26%,22316,
"MOREHOUSE, LA",46.28%,28.54%,4825,
"IONIA, MI",46.28%,28.88%,25682,
"BURT, NE",46.27%,18.83%,616,
"PLATTE, NE",46.26%,18.01%,3815,
"AITKIN, MN",46.24%,29.09%,8052,
"PONTOTOC, MS",46.21%,21.65%,12922,
"BANNER, NE",46.20%,23.98%,171,
"POLK, NE",46.19%,23.19%,565,
"JACKSON, MO",46.19%,25.89%,160282,
"HENDERSON, KY",46.18%,31.23%,25654,
"RICHLAND, MT",46.17%,25.63%,5805,
"WEBSTER, KY",46.14%,34.86%,4705,
"ACADIA, LA",46.12%,25.81%,16500,
"WASHINGTON, LA",46.11%,30.33%,18737,
"LOWNDES, MS",46.11%,23.94%,22546,
"BREATHITT, KY",46.08%,23.54%,1784,
"TANGIPAHOA, LA",46.02%,28.23%,68346,
"LAFOURCHE, LA",46.00%,26.44%,20345,
"MADISON, NY",45.96%,21.60%,14476,
"CLAY, NE",45.94%,25.69%,1911,
"MISSISSIPPI, MO",45.94%,57.29%,5416,
"MORRISON, MN",45.91%,29.93%,13347,
"IOSCO, MI",45.88%,21.77%,1663,
"NODAWAY, MO",45.88%,16.39%,10251,
"MILLE LACS, MN",45.87%,36.39%,11009,
"WYOMING, NY",45.86%,20.54%,11911,
"MECOSTA, MI",45.83%,27.88%,23164,
"OUACHITA, LA",45.81%,25.27%,51064,
"RENSSELAER, NY",45.80%,27.81%,69296,
"GARDEN, NE",45.79%,22.03%,522,
"STANTON, NE",45.78%,18.84%,1221,
"NEWAYGO, MI",45.72%,30.83%,30689,
"CIBOLA, NM",45.71%,19.43%,3185,
"CARROLL, MO",45.65%,23.32%,909,
"MAHNOMEN, MN",45.65%,30.25%,2688,
"FRANKLIN, LA",45.64%,19.24%,2360,
"RED LAKE, MN",45.62%,32.88%,2637,
"OGEMAW, MI",45.61%,20.22%,1197,
"GRAVES, KY",45.55%,28.92%,13760,
"MARTIN, MN",45.55%,36.48%,4918,
"GRANT, MN",45.54%,30.55%,3142,
"MADISON, LA",45.53%,21.66%,817,
"HART, KY",45.53%,27.38%,2392,
"TODD, MN",45.51%,28.91%,12848,
"ADAMS, NE",45.51%,26.46%,12383,
"CALHOUN, MS",45.47%,19.14%,5349,
"MINERAL, NV",45.45%,21.56%,473,
"SHELBY, KY",45.43%,27.65%,25908,
"STODDARD, MO",45.39%,58.90%,8251,
"SENECA, NY",45.37%,20.10%,13221,
"LANDER, NV",45.37%,18.89%,540,
"DELTA, MI",45.30%,17.34%,20991,
"ELLIOTT, KY",45.30%,24.50%,755,
"FULTON, NY",45.29%,18.96%,10864,
"JEFFERSON, NE",45.29%,23.79%,2270,
"FRANKLIN, KY",45.27%,32.51%,24038,
"VAN BUREN, MI",45.25%,25.07%,45223,
"CONCORDIA, LA",45.24%,19.56%,1375,
"SAINT CHARLES, LA",45.22%,33.75%,28766,
"LAMAR, MS",45.22%,27.03%,27908,
"BENTON, MS",45.18%,20.98%,2459,
"LEWIS, NY",45.17%,19.80%,1833,
"GRUNDY, MO",45.14%,28.80%,5046,
"UNION, LA",45.13%,24.05%,3672,
"WHEATLAND, MT",45.12%,16.16%,328,
"BLAINE, MT",45.11%,19.93%,552,
"SAINT CLAIR, MI",45.08%,25.95%,15891,
"EAST FELICIANA, LA",45.03%,25.50%,9787,
"CUMING, NE",45.00%,17.84%,880,
"SAINT BERNARD, LA",44.98%,28.62%,20379,
"ALCONA, MI",44.97%,23.77%,547,
"MORRILL, NE",44.97%,22.66%,1381,
"BERRIEN, MI",44.95%,33.41%,81633,
"HARRISON, MS",44.91%,22.21%,41457,
"DE BACA, NM",44.89%,18.98%,274,
"BOONE, KY",44.87%,28.57%,92600,
"LINCOLN, NE",44.87%,23.22%,18254,
"BIG HORN, MT",44.86%,22.94%,1665,
"WADENA, MN",44.86%,24.77%,10121,
"ONONDAGA, NY",44.85%,22.60%,83986,
"MOWER, MN",44.84%,22.42%,281,
"CALLOWAY, KY",44.83%,27.42%,5762,
"SAINT JAMES, LA",44.82%,29.42%,6780,
"PULASKI, MO",44.82%,20.01%,10708,
"NORMAN, MN",44.82%,32.65%,4061,
"ITASCA, MN",44.81%,33.23%,27151,
"CHOUTEAU, MT",44.80%,23.73%,1884,
"COOPER, MO",44.79%,19.02%,163,
"ERIE, NY",44.77%,25.26%,118567,
"BEAUREGARD, LA",44.74%,17.30%,3885,
"WARREN, NJ",44.68%,28.29%,33406,
"KENTON, KY",44.66%,29.40%,104504,
"UNION, MS",44.65%,21.76%,13987,
"FORREST, MS",44.64%,25.79%,52686,
"MARSHALL, MN",44.61%,28.34%,5920,
"CASEY, KY",44.60%,22.40%,1955,
"WASHINGTON, NE",44.60%,20.59%,2074,
"PASSAIC, NJ",44.55%,32.07%,51164,
"FLEMING, KY",44.53%,25.35%,2430,
"MARQUETTE, MI",44.50%,16.27%,3510,
"BELL, KY",44.50%,20.06%,4416,
"OREGON, MO",44.48%,32.82%,326,
"GLOUCESTER, NJ",44.47%,28.40%,114375,
"CALDWELL, LA",44.47%,19.45%,1383,
"MCCRACKEN, KY",44.42%,31.82%,40121,
"TOOLE, MT",44.40%,19.01%,563,
"LINN, MO",44.40%,23.71%,1822,
"BOYLE, KY",44.40%,24.08%,4534,
"SAUNDERS, NE",44.37%,22.75%,3196,
"HANCOCK, KY",44.35%,21.96%,947,
"QUEEN ANNES, MD",44.31%,37.68%,20462,
"SOMERSET, ME",44.28%,20.10%,5219,
"PERSHING, NV",44.27%,20.12%,646,
"ALLEGANY, NY",44.27%,26.54%,19835,
"BARRY, MI",44.26%,28.32%,30896,
"CHERRY, NE",44.25%,16.99%,965,
"HANCOCK, MS",44.24%,22.95%,13699,
"CAYUGA, NY",44.22%,20.54%,10936,
"ALCORN, MS",44.22%,17.63%,6875,
"WAYNE, MI",44.18%,29.22%,653849,
"DELAWARE, NY",44.17%,24.12%,25966,
"NUCKOLLS, NE",44.17%,19.31%,720,
"KANABEC, MN",44.15%,29.91%,1615,
"MADISON, MS",44.14%,19.44%,29248,
"KIMBALL, NE",44.14%,18.84%,913,
"WOODFORD, KY",44.13%,28.20%,7464,
"TENSAS, LA",44.12%,17.19%,442,
"CARLISLE, KY",44.09%,30.21%,2191,
"CEDAR, MO",44.08%,20.11%,363,
"WAYNE, NY",44.07%,25.15%,59672,
"HAMPDEN, MA",44.02%,31.01%,98898,
"RICHLAND, LA",44.01%,19.56%,3215,
"TORRANCE, NM",44.01%,19.48%,3445,
"PONDERA, MT",44.00%,21.37%,950,
"KENT, MD",43.99%,25.33%,8796,
"TIOGA, NY",43.98%,21.97%,31642,
"WILKIN, MN",43.97%,33.78%,4239,
"TIPPAH, MS",43.96%,18.98%,5880,
"PLAQUEMINES, LA",43.96%,30.45%,10327,
"MARTIN, KY",43.94%,25.67%,974,
"SCHUYLER, NY",43.93%,20.76%,10679,
"BATH, KY",43.93%,25.20%,2750,
"LYON, NV",43.93%,19.81%,15041,
"BENTON, MN",43.92%,35.66%,22712,
"LIVINGSTON, LA",43.90%,28.94%,83476,
"KNOX, NE",43.88%,18.53%,1160,
"SEWARD, NE",43.87%,17.40%,3189,
"LIVINGSTON, NY",43.87%,23.57%,36564,
"MACOMB, MI",43.84%,26.31%,308449,
"OSCODA, MI",43.82%,24.38%,283,
"MEEKER, MN",43.81%,35.92%,5357,
"BOLIVAR, MS",43.81%,18.96%,1477,
"VERMILION, LA",43.80%,24.81%,16516,
"SALEM, NJ",43.78%,22.76%,16773,
"ISANTI, MN",43.77%,32.76%,7528,
"KOOCHICHING, MN",43.75%,26.60%,7634,
"LEWIS, MO",43.75%,22.92%,48,
"CLARE, MI",43.74%,22.21%,2062,
"MERCER, MO",43.67%,24.63%,1470,
"SCOTTS BLUFF, NE",43.65%,25.06%,17268,
"CAMPBELL, KY",43.64%,27.56%,58584,
"FRANKLIN, ME",43.63%,27.15%,15390,
"MCKINLEY, NM",43.54%,17.09%,2703,
"JEFFERSON, LA",43.54%,29.50%,219233,
"ESSEX, NY",43.50%,15.91%,14819,
"LEE, MS",43.49%,21.01%,45749,
"CASS, MN",43.46%,30.74%,16204,
"DOUGLAS, NE",43.45%,24.54%,104942,
"MILLER, MO",43.37%,22.22%,279,
"CHEYENNE, NE",43.30%,21.84%,5372,
"GUADALUPE, NM",43.26%,18.73%,534,
"CARTER, KY",43.25%,24.09%,2437,
"ALLEGAN, MI",43.24%,26.44%,48640,
"SCOTT, MO",43.17%,55.17%,13441,
"ELKO, NV",43.15%,20.27%,9884,
"ONEIDA, NY",43.14%,23.32%,92900,
"JEFFERSON, KY",43.13%,28.11%,420626,
"ADAIR, KY",43.12%,22.47%,2078,
"LEWIS, KY",43.11%,21.55%,849,
"STEUBEN, NY",43.09%,21.34%,59088,
"MCPHERSON, NE",43.08%,23.85%,130,
"CAMDEN, NJ",43.03%,25.65%,254171,
"SALINE, NE",43.01%,20.40%,6077,
"WASHINGTON, ME",43.01%,21.27%,1932,
"BRISTOL, MA",42.96%,38.19%,211062,
"TREASURE, MT",42.96%,19.72%,142,
"DONA ANA, NM",42.96%,22.77%,5438,
"WALDO, ME",42.92%,26.95%,18531,
"SWIFT, MN",42.92%,34.47%,4842,
"PUTNAM, MO",42.89%,22.37%,380,
"GASCONADE, MO",42.86%,14.97%,441,
"WAYNE, NE",42.83%,12.97%,3516,
"WEST CARROLL, LA",42.82%,19.44%,1497,
"YATES, NY",42.81%,20.04%,10751,
"AROOSTOOK, ME",42.78%,21.51%,15821,
"GRATIOT, MI",42.76%,21.98%,2320,
"SHERIDAN, NE",42.73%,16.52%,557,
"CEDAR, NE",42.73%,15.19%,2001,
"CHAVES, NM",42.71%,26.49%,9093,
"STEVENS, MN",42.68%,24.78%,1961,
"MIDLAND, MI",42.67%,21.27%,7220,
"CASCADE, MT",42.66%,20.42%,34998,
"PENNINGTON, MN",42.65%,33.62%,9241,
"BOURBON, KY",42.61%,29.28%,11774,
"WRIGHT, MN",42.61%,27.10%,25461,
"PAWNEE, NE",42.59%,21.58%,533,
