Session Title,OBESITY by ICD and BMI County UTWY Age 2026,,,
Session ID,2819406,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"State of Residence: Utah, Vermont, Virginia, West Virginia, Washington, Wisconsin, Wyoming",Country of Residence: United States of America,Has Any Encounters?,Base Patient
Session Date Range,1/1/2026 - 3/30/2026,,,
Export User,Stephanie Perniciaro,,,
Date of Export,5/4/2026,,,
,,,,
,,,,
Measures,BMI 30+ (%),OBESITY (%),Number of Patients,
County of Residence,,,,
"ALEXANDRIA CITY, VA",34.33%,22.72%,42941,
"OZAUKEE, WI",34.32%,27.73%,53968,
"NIOBRARA, WY",34.29%,15.00%,140,
"PIERCE, WA",34.26%,11.82%,18377,
"DUCHESNE, UT",34.25%,15.56%,1568,
"ROCKBRIDGE, VA",34.09%,13.84%,2602,
"WHITMAN, WA",34.09%,10.92%,2426,
"ORLEANS, VT",34.00%,11.27%,5582,
"SALEM, VA",33.85%,12.69%,709,
"RUTLAND, VT",33.84%,16.15%,12306,
"CALEDONIA, VT",33.83%,12.19%,6660,
"SAN JUAN, UT",33.77%,13.13%,998,
"WASHINGTON, VT",33.70%,18.97%,37013,
"ALBANY, WY",33.67%,14.10%,12483,
"BENTON, WA",33.65%,12.94%,1584,
"UINTA, WY",33.45%,11.85%,4018,
"ADDISON, VT",33.38%,15.93%,20025,
"FAIRFAX, VA",33.37%,21.86%,318912,
"BUENA VISTA CITY, VA",33.33%,14.54%,729,
"STEVENS, WA",33.33%,12.06%,282,
"CROOK, WY",33.25%,15.86%,1690,
"WOOD, WI",33.21%,19.24%,2963,
"FREMONT, WY",32.91%,14.63%,1565,
"TOOELE, UT",32.84%,18.14%,19616,
"ONEIDA, WI",32.81%,17.00%,1335,
"CRAIG, VA",32.79%,14.75%,122,
"FAIRFAX CITY, VA",32.61%,21.41%,9824,
"NATRONA, WY",32.53%,14.64%,1694,
"ROANOKE, VA",32.42%,12.52%,2421,
"MASON, WA",32.41%,11.63%,688,
"BOTETOURT, VA",32.36%,13.06%,1026,
"ROANOKE CITY, VA",32.34%,15.16%,1985,
"BATH, VA",32.27%,15.01%,533,
"WASHAKIE, WY",32.07%,9.70%,608,
"KLICKITAT, WA",32.04%,11.03%,5194,
"CARBON, UT",31.80%,11.37%,1522,
"ALBEMARLE, VA",31.79%,20.52%,58577,
"HOT SPRINGS, WY",31.61%,9.42%,329,
"SUBLETTE, WY",31.06%,14.17%,2096,
"BENNINGTON, VT",30.60%,12.72%,3899,
"YAKIMA, WA",30.40%,18.88%,15236,
"JOHNSON, WY",30.14%,16.10%,292,
"EMERY, UT",30.12%,12.52%,727,
"CLARK, WA",29.94%,12.45%,87067,
"ARLINGTON, VA",29.86%,17.51%,63087,
"SEVIER, UT",29.86%,16.61%,6436,
"KING, WA",29.80%,12.44%,308337,
"DANE, WI",29.61%,16.59%,303165,
"CHITTENDEN, VT",29.28%,13.79%,78536,
"MILLARD, UT",29.13%,14.65%,3296,
"WEBER, UT",29.08%,19.63%,56385,
"CLALLAM, WA",29.01%,8.97%,948,
"CHARLOTTESVILLE CITY, VA",28.96%,18.68%,22506,
"MARATHON, WI",28.87%,13.28%,3374,
"PORTAGE, WI",28.72%,13.01%,3520,
"PRICE, WI",28.64%,11.51%,817,
"GRAND, UT",28.20%,9.56%,1234,
"WALLA WALLA, WA",28.04%,13.92%,510,
"DAVIS, UT",27.68%,16.65%,88088,
"IRON, UT",27.55%,14.71%,16307,
"WINDHAM, VT",27.53%,11.60%,12973,
"SALT LAKE, UT",27.40%,16.37%,398295,
"JEFFERSON, WA",27.22%,10.65%,507,
"BOX ELDER, UT",26.80%,18.40%,12043,
"SHERIDAN, WY",26.16%,11.41%,1139,
"COLUMBIA, WA",,,23,
"FALLS CHURCH CITY, VA",25.96%,16.82%,4988,
"SAN JUAN, WA",24.71%,7.85%,1566,
"KITSAP, WA",24.65%,7.08%,3517,
"PIUTE, UT",24.56%,17.21%,517,
"JUAB, UT",24.41%,11.62%,938,
"UTAH, UT",24.38%,12.72%,115756,
"LAMOILLE, VT",23.94%,8.64%,7744,
"CACHE, UT",23.61%,17.67%,39460,
"THURSTON, WA",23.55%,8.57%,4726,
"BEAVER, UT",23.33%,10.00%,870,
"SANPETE, UT",23.23%,21.10%,6269,
"WASHINGTON, UT",22.44%,15.09%,58010,
"MORGAN, UT",21.07%,13.22%,2307,
"KANE, UT",20.96%,11.33%,1121,
"LEXINGTON CITY, VA",20.86%,8.90%,1213,
"GARFIELD, UT",20.07%,12.68%,1719,
"WAYNE, UT",19.64%,8.80%,443,
"WASATCH, UT",19.63%,15.01%,14184,
"TETON, WY",15.06%,6.29%,1335,
"SUMMIT, UT",14.21%,10.06%,20815,
None of the above,33.38%,17.09%,293065,
Total,38.69%,22.71%,7747394,
