Session Title,OBESITY by ICD and BMI County FLKS Age 2026,,,
Session ID,2818140,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"State of Residence: Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas",Country of Residence: United States of America,Has Any Encounters?,Base Patient
Session Date Range,1/1/2026 - 3/30/2026,,,
Export User,Stephanie Perniciaro,,,
Date of Export,5/4/2026,,,
,,,,
,,,,
Measures,BMI 30+ (%),OBESITY (%),Number of Patients,
County of Residence,,,,
"KALAWAO, HI",,,10 or fewer,
"LINN, IA",44.12%,28.08%,146672,
"VIGO, IN",44.10%,19.98%,1186,
"POWER, ID",44.03%,17.25%,1449,
"IDA, IA",44.01%,17.85%,1227,
"UNION, GA",44.00%,32.06%,5361,
"JASPER, GA",43.97%,22.71%,2968,
"SANGAMON, IL",43.96%,22.34%,30752,
"LAKE, IN",43.96%,28.13%,107806,
"BROWN, IN",43.87%,20.88%,3118,
"STAFFORD, KS",43.83%,19.15%,632,
"PORTER, IN",43.82%,26.50%,29512,
"GILMER, GA",43.80%,24.54%,10824,
"FLOYD, GA",43.71%,33.47%,58775,
"LAGRANGE, IN",43.70%,21.70%,10032,
"ELKHART, IN",43.63%,21.13%,15507,
"MADISON, GA",43.62%,23.38%,10822,
"WARREN, IA",43.62%,31.03%,22247,
"BANNOCK, ID",43.61%,18.44%,23190,
"BIBB, GA",43.58%,17.58%,47745,
"MORTON, KS",43.56%,11.88%,101,
"MARTIN, IN",43.54%,26.37%,2662,
"STEPHENSON, IL",43.49%,20.16%,5864,
"LOGAN, KS",43.47%,18.84%,743,
"WELLS, IN",43.47%,22.04%,5618,
"CAMDEN, GA",43.46%,27.27%,10590,
"VANDERBURGH, IN",43.44%,28.48%,81174,
"KENDALL, IL",43.44%,30.50%,47734,
"TOWNS, GA",43.43%,28.22%,3320,
"CALHOUN, FL",43.34%,21.87%,2305,
"GEM, ID",43.33%,26.87%,6584,
"EDWARDS, KS",43.30%,13.39%,224,
"WHITESIDE, IL",43.29%,13.21%,27296,
"WALLACE, KS",43.24%,13.51%,185,
"SPENCER, IN",43.23%,24.95%,7899,
"LEVY, FL",43.23%,27.46%,10528,
"RENO, KS",43.21%,18.72%,780,
"FRANKLIN, IA",43.20%,23.20%,1780,
"BINGHAM, ID",43.19%,16.17%,2901,
"ELLIS, KS",43.19%,15.86%,1116,
"PERRY, IN",43.19%,22.62%,2922,
"OWYHEE, ID",43.15%,26.23%,5094,
"CARROLL, GA",43.15%,23.09%,15707,
"EDGAR, IL",43.15%,23.19%,2130,
"WHITLEY, IN",43.14%,23.98%,20255,
"PEORIA, IL",43.13%,23.74%,105465,
"DAVIS, IA",43.12%,20.22%,1672,
"VAN BUREN, IA",43.11%,17.82%,1459,
"NESS, KS",43.11%,16.44%,225,
"GALLATIN, IL",43.11%,23.85%,805,
"PICKENS, GA",43.08%,23.31%,12193,
"POSEY, IN",43.04%,28.86%,11709,
"MADISON, IA",43.04%,28.01%,3910,
"SALINE, IL",43.03%,22.47%,2368,
"WASHINGTON, ID",42.98%,24.49%,3704,
"HENDRICKS, IN",42.98%,24.06%,51848,
"OGLE, IL",42.91%,20.66%,22371,
"DOOLY, GA",42.91%,19.89%,543,
"CARROLL, IL",42.91%,17.34%,4365,
"JOHNSON, IN",42.89%,26.06%,34747,
"HENDRY, FL",42.84%,32.22%,10566,
"PAWNEE, KS",42.81%,14.30%,1175,
"JACKSON, GA",42.76%,32.20%,37810,
"CASSIA, ID",42.72%,24.94%,7767,
"PASCO, FL",42.70%,33.67%,138462,
"LUMPKIN, GA",42.66%,34.85%,13757,
"DECATUR, IN",42.66%,20.65%,4067,
"PUTNAM, GA",42.62%,18.97%,5952,
"KOSSUTH, IA",42.62%,23.22%,1701,
"OKEECHOBEE, FL",42.61%,32.13%,4924,
"CHASE, KS",42.56%,20.23%,430,
"WAPELLO, IA",42.48%,26.09%,11990,
"OTTAWA, KS",42.45%,15.83%,139,
"LANIER, GA",42.44%,20.75%,2347,
"STANTON, KS",42.42%,,33,
"LAKE, FL",42.40%,29.94%,163248,
"WABASH, IN",42.40%,22.31%,15674,
"MARION, IA",42.37%,23.32%,4949,
"MCPHERSON, KS",42.36%,18.57%,517,
"JEFFERSON, IL",42.35%,18.67%,739,
"WILL, IL",42.34%,25.16%,101029,
"WHITE, IL",42.32%,26.29%,2625,
"CANYON, ID",42.32%,28.52%,123071,
"NEMAHA, KS",42.32%,19.50%,2226,
"HENRY, IA",42.31%,19.63%,4498,
"DUVAL, FL",42.26%,27.26%,297583,
"CUMBERLAND, IL",42.24%,21.67%,2100,
"WILCOX, GA",42.18%,21.75%,377,
"SCOTT, IA",42.15%,25.68%,55430,
"IROQUOIS, IL",42.04%,23.25%,5493,
"COLUMBIA, GA",42.02%,20.68%,43863,
"HARALSON, GA",42.00%,24.46%,4833,
"CLEARWATER, ID",41.99%,16.01%,331,
"CHAUTAUQUA, KS",41.94%,18.28%,93,
"HABERSHAM, GA",41.92%,29.60%,21130,
"MORGAN, GA",41.89%,20.59%,4614,
"GRADY, GA",41.86%,24.71%,1032,
"HALL, GA",41.80%,34.49%,98790,
"DOUGLAS, IL",41.80%,29.57%,8460,
"MITCHELL, GA",41.78%,23.29%,438,
"LANE, KS",41.77%,16.46%,79,
"CANDLER, GA",41.75%,17.96%,206,
"TAYLOR, GA",41.75%,18.05%,1169,
"STORY, IA",41.74%,20.53%,10144,
"DOUGLAS, KS",41.72%,28.17%,17387,
"FANNIN, GA",41.69%,25.06%,4685,
"GREELEY, KS",41.67%,,60,
"OSBORNE, KS",41.67%,15.63%,96,
"SCHLEY, GA",41.67%,18.06%,216,
"JOHNSON, GA",41.65%,18.26%,449,
"RICE, KS",41.58%,15.35%,469,
"HOUSTON, GA",41.57%,17.38%,16498,
"LEE, IL",41.57%,14.12%,11318,
"WHEELER, GA",41.56%,16.88%,154,
"LAURENS, GA",41.52%,17.39%,2283,
"TAYLOR, IA",41.52%,20.00%,985,
"KANKAKEE, IL",41.50%,22.33%,5142,
"BROOKS, GA",41.50%,22.36%,2053,
"LINCOLN, ID",41.49%,30.76%,1687,
"HARVEY, KS",41.45%,18.03%,427,
"NASSAU, FL",41.44%,25.75%,46968,
"EFFINGHAM, IL",41.43%,17.98%,12328,
"DIXIE, FL",41.39%,25.87%,3491,
"WASHINGTON, IA",41.38%,20.60%,10329,
"RANDOLPH, GA",41.35%,19.83%,237,
"BUENA VISTA, IA",41.34%,19.54%,10270,
"ADAMS, IN",41.27%,21.45%,3390,
"HILLSBOROUGH, FL",41.27%,34.34%,325334,
"SHERMAN, KS",41.22%,19.44%,854,
"MILLER, GA",41.21%,17.27%,330,
"ALLEN, IN",41.18%,24.64%,159979,
"GRUNDY, IL",41.16%,20.22%,4546,
"BLECKLEY, GA",41.15%,17.02%,1040,
"HOLMES, FL",41.14%,15.24%,1247,
"SCREVEN, GA",41.13%,17.18%,547,
"PULASKI, GA",41.11%,19.41%,917,
"ATKINSON, GA",41.08%,18.18%,297,
"ORANGE, IN",41.06%,21.22%,2389,
"KANE, IL",41.02%,29.45%,142547,
"MARION, FL",41.00%,27.67%,80284,
"FLAGLER, FL",40.98%,31.61%,50344,
"POLK, IA",40.97%,27.61%,204619,
"COOK, IL",40.96%,28.56%,1243444,
"HAMILTON, IA",40.92%,20.39%,2280,
"BEN HILL, GA",40.85%,21.34%,492,
"OSCEOLA, FL",40.80%,28.05%,145095,
"EMANUEL, GA",40.79%,16.03%,1042,
"TWIN FALLS, ID",40.77%,35.36%,42097,
"SAINT LUCIE, FL",40.75%,31.48%,88719,
"GOODING, ID",40.71%,31.77%,4923,
"MCDONOUGH, IL",40.68%,18.93%,2979,
"VOLUSIA, FL",40.62%,28.91%,193291,
"LEON, FL",40.56%,22.96%,56287,
"TELFAIR, GA",40.56%,16.41%,323,
"CLARKE, IA",40.55%,24.88%,2106,
"JEROME, ID",40.54%,34.71%,10077,
"ADAMS, ID",40.52%,23.25%,2211,
"TREUTLEN, GA",40.51%,16.92%,195,
"PUTNAM, FL",40.51%,23.57%,9899,
"LEE, IA",40.51%,20.61%,7320,
"NEZ PERCE, ID",40.49%,13.94%,1062,
"KIOWA, KS",40.48%,,42,
"WOODBURY, IA",40.44%,20.55%,45423,
"CITRUS, FL",40.43%,21.36%,19259,
"WARRICK, IN",40.42%,26.16%,31770,
"CLARK, IL",40.41%,19.18%,928,
"UNION, FL",40.38%,26.12%,2412,
"KOSCIUSKO, IN",40.31%,21.66%,18191,
"IDAHO, ID",40.28%,21.52%,1013,
"MONONA, IA",40.20%,17.90%,1525,
"MCHENRY, IL",40.04%,28.84%,80290,
"OBRIEN, IA",40.03%,22.81%,7605,
"COLES, IL",40.01%,24.55%,10724,
"MONROE, IL",39.98%,22.51%,813,
"HAMILTON, FL",39.93%,21.63%,1470,
"RAWLINS, KS",39.87%,17.59%,790,
"DUBUQUE, IA",39.87%,21.42%,38311,
"HOWARD, IA",39.82%,20.42%,1557,
"TOOMBS, GA",39.81%,14.42%,520,
"OSCEOLA, IA",39.76%,23.51%,1612,
"CLAY, FL",39.76%,25.93%,52089,
"DES MOINES, IA",39.72%,19.90%,9583,
"SUMTER, GA",39.69%,18.28%,897,
"PALO ALTO, IA",39.62%,22.91%,790,
"JEFF DAVIS, GA",39.55%,17.73%,220,
"DEKALB, GA",39.50%,24.67%,194733,
"FAYETTE, GA",39.49%,23.98%,36567,
"RABUN, GA",39.44%,30.38%,6096,
"WASHINGTON, FL",39.41%,14.95%,883,
"COLUMBIA, FL",39.40%,21.74%,9497,
"MITCHELL, KS",39.39%,16.36%,165,
"ADAMS, IA",39.30%,20.35%,285,
"LEE, FL",39.27%,30.46%,352177,
"MONTGOMERY, GA",39.25%,18.28%,186,
"COBB, GA",39.22%,25.14%,280208,
"CALHOUN, GA",39.22%,16.18%,204,
