Session Title,OBESITY by ICD and BMI County Age 2025,,,
Session ID,2776887,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,State of Residence (U.S.): States AL-DE,Has Any Encounters?,Base Patient,
Session Date Range,1/1/2025 - 10/30/2025,,,
Export User,Stephanie Perniciaro,,,
Date of Export,11/14/2025,,,
,,,,
,,,,
,Measures,BMI 30+ (%),OBESITY (%),Number of Patients
Age at Encounter in Years,County of Residence,,,
Less than 18 Years,"PERRY, AL",-,-,10 or fewer
,"SHARP, AR",37.04%,17.78%,135
,"SCOTT, AR",37.90%,8.87%,124
,"BIBB, AL",-,-,13
,"CRITTENDEN, AR",34.98%,14.53%,1638
,"BULLOCK, AL",-,-,10 or fewer
,"BENT, CO",50.00%,28.95%,38
,"JOHNSON, AR",40.72%,14.07%,334
,"CRAIGHEAD, AR",36.83%,16.33%,4741
,"CULLMAN, AL",28.95%,-,38
,"YUKON KOYUKUK, AK",-,-,10 or fewer
,"DALLAS, AL",-,-,15
,"HOUSTON, AL",40.79%,11.22%,1711
,"PROWERS, CO",32.95%,12.50%,88
,"DALLAS, AR",37.50%,18.75%,112
,"HENRY, AL",34.66%,7.39%,176
,"CLAY, AR",40.00%,22.67%,150
,"LOGAN, AR",38.74%,11.26%,222
,"SEDGWICK, CO",-,-,14
,"LAMAR, AL",38.50%,14.55%,213
,"PUEBLO, CO",34.87%,15.42%,3814
,"HOT SPRING, AR",38.67%,16.16%,662
,"TALLAPOOSA, AL",-,-,14
,"PRINCE OF WALES HYDER, AK",-,-,10 or fewer
,"MARION, AL",34.14%,13.08%,413
,"OTERO, CO",36.95%,24.14%,203
,"MILLER, AR",35.46%,14.54%,454
,"RUSSELL, AL",30.99%,-,71
,"FRANKLIN, AL",23.08%,-,65
,"LEE, AR",33.85%,-,65
,"TUSCALOOSA, AL",36.80%,17.60%,818
,"CRAWFORD, AR",37.98%,13.80%,1601
,"SALINE, AR",36.13%,17.36%,2765
,"ALEUTIANS WEST, AK",-,-,10 or fewer
,"LAFAYETTE, AR",43.24%,-,37
,"YUMA, AZ",31.92%,6.10%,213
,"VAN BUREN, AR",28.49%,8.38%,179
,"COVINGTON, AL",44.19%,-,43
,"LITTLE RIVER, AR",39.53%,22.09%,86
,"BALDWIN, AL",31.67%,14.11%,4067
,"SEBASTIAN, AR",37.66%,15.10%,3165
,"ARKANSAS, AR",39.09%,17.67%,747
,"ESCAMBIA, AL",41.24%,19.93%,291
,"LAUDERDALE, AL",31.71%,-,41
,"LONOKE, AR",38.21%,18.47%,1955
,"CLEBURNE, AR",31.38%,10.46%,717
,"LOGAN, CO",19.53%,13.28%,128
,"PRAIRIE, AR",33.50%,17.26%,197
,"YAKUTAT, AK",-,-,10 or fewer
,"COFFEE, AL",34.14%,12.07%,580
,"UNION, AR",37.86%,20.71%,309
,"FRANKLIN, AR",32.69%,16.35%,208
,"LA PAZ, AZ",-,-,24
,"GENEVA, AL",33.10%,10.32%,281
,"LAWRENCE, AL",-,-,10 or fewer
,"ASHLEY, AR",40.11%,14.44%,187
,"JEFFERSON, AR",39.37%,18.28%,1242
,"LINCOLN, AR",45.19%,18.27%,104
,"KIOWA, CO",-,-,17
,"LASSEN, CA",33.89%,10.88%,239
,"FULTON, AR",-,-,44
,"FRESNO, CA",35.19%,15.34%,29780
,"WINDHAM, CT",28.29%,15.26%,3899
,"INDEPENDENCE, AR",36.21%,16.79%,417
,"CONWAY, AR",35.71%,15.24%,210
,"CHILTON, AL",-,-,10 or fewer
,"DREW, AR",42.11%,15.79%,342
,"NOME, AK",-,-,10 or fewer
,"GRAHAM, AZ",30.56%,19.44%,72
,"WOODRUFF, AR",31.82%,25.00%,44
,"NEW HAVEN, CT",25.37%,12.72%,14402
,"SISKIYOU, CA",33.77%,14.43%,305
,"NEW LONDON, CT",26.35%,13.95%,8615
,"CALHOUN, AR",39.22%,21.57%,51
,"NAVAJO, AZ",25.00%,-,112
,"HEMPSTEAD, AR",44.81%,24.03%,154
,"CRENSHAW, AL",-,-,12
,"MIDDLESEX, CT",23.26%,11.61%,6182
,"IMPERIAL, CA",29.31%,5.20%,1559
,"LITCHFIELD, CT",24.17%,8.94%,4331
,"FAULKNER, AR",33.50%,13.58%,2534
,"MOFFAT, CO",32.04%,10.26%,643
,"WHITE, AR",33.22%,13.15%,882
,"GRANT, AR",33.92%,16.81%,339
,"ELMORE, AL",-,-,48
,"LAS ANIMAS, CO",32.14%,21.43%,112
,"NORTHWEST ARCTIC, AK",-,-,10 or fewer
,"YELL, AR",37.12%,18.94%,132
,"GILA, AZ",25.30%,-,83
,"CHICOT, AR",41.67%,19.05%,84
,"LEE, AL",26.29%,9.79%,194
,"MONTGOMERY, AL",16.67%,-,126
,"MORGAN, CO",28.81%,11.02%,236
,"MORGAN, AL",-,-,42
,"PULASKI, AR",35.62%,17.72%,13115
,"WASHINGTON, CO",-,-,30
,"GREENLEE, AZ",-,-,17
,"COLUMBIA, AR",38.01%,14.93%,221
,"PIKE, AR",40.91%,-,88
,"POPE, AR",34.48%,14.29%,525
,"MADERA, CA",34.18%,16.15%,3084
,"BRADLEY, AR",43.07%,13.87%,137
,"DESHA, AR",37.37%,19.19%,99
,"SEARCY, AR",46.15%,-,26
,"BETHEL, AK",-,-,10 or fewer
,"MARICOPA, AZ",23.29%,7.93%,55568
,"IZARD, AR",22.22%,-,72
,"HARTFORD, CT",25.78%,13.20%,31879
,"PHILLIPS, CO",-,-,41
