Session Title,OBESITY by ICD and BMI County NCTX Age 2026,,,
Session ID,2818143,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"State of Residence: North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas",Country of Residence: United States of America,Has Any Encounters?,Base Patient
Session Date Range,1/1/2026 - 3/30/2026,,,
Export User,Stephanie Perniciaro,,,
Date of Export,5/4/2026,,,
,,,,
,,,,
Measures,BMI 30+ (%),OBESITY (%),Number of Patients,
County of Residence,,,,
"CAMPBELL, TN",43.41%,21.55%,645,
"RUNNELS, TX",43.39%,23.55%,3669,
"SUSQUEHANNA, PA",43.38%,18.54%,10319,
"NORTHAMPTON, PA",43.37%,31.60%,224008,
"HAMILTON, TN",43.37%,22.61%,91214,
"TITUS, TX",43.35%,17.79%,4115,
"CAVALIER, ND",43.35%,27.06%,2247,
"MCCURTAIN, OK",43.32%,15.15%,1512,
"POLK, OR",43.31%,23.89%,29635,
"RUSK, TX",43.31%,17.30%,9330,
"DONLEY, TX",43.25%,11.81%,474,
"CUMBERLAND, PA",43.24%,24.50%,24688,
"BARNES, ND",43.24%,40.27%,6971,
"SWISHER, TX",43.23%,10.91%,495,
"LEBANON, PA",43.21%,23.18%,50980,
"BEXAR, TX",43.16%,38.50%,228674,
"ROLETTE, ND",43.13%,22.25%,2993,
"WYOMING, PA",43.11%,15.77%,5106,
"PITTSBURG, OK",43.06%,21.94%,10511,
"FOARD, TX",43.06%,15.28%,288,
"DAVIE, NC",43.04%,31.22%,30361,
"DALLAS, TX",43.03%,26.00%,711323,
"OCHILTREE, TX",43.01%,11.18%,465,
"PERRY, TN",43.00%,20.67%,300,
"CASS, TX",42.99%,19.21%,1463,
"NELSON, ND",42.96%,27.20%,2132,
"GRIMES, TX",42.95%,24.61%,11101,
"ANDERSON, SC",42.92%,23.42%,120995,
"POTTER, TX",42.90%,14.49%,16353,
"PUSHMATAHA, OK",42.89%,17.50%,823,
"DEWEY, OK",42.89%,17.92%,893,
"HYDE, SD",42.86%,17.58%,91,
"GREENE, TN",42.86%,18.77%,28066,
"MCCLAIN, OK",42.83%,21.46%,6413,
"PIERCE, ND",42.83%,21.14%,2029,
"BECKHAM, OK",42.82%,13.27%,1733,
"TULSA, OK",42.81%,26.59%,273235,
"MURRAY, OK",42.79%,18.49%,687,
"HILL, TX",42.79%,25.42%,8311,
"LAKE, SD",42.76%,21.78%,4338,
"PONTOTOC, OK",42.75%,20.39%,2075,
"SMITH, TX",42.73%,22.04%,54509,
"BAYLOR, TX",42.71%,18.83%,494,
"MERCER, OH",42.71%,29.04%,17214,
"PAYNE, OK",42.69%,19.29%,8217,
"DIMMIT, TX",42.68%,19.11%,246,
"PICKENS, SC",42.68%,29.12%,82539,
"LEE, NC",42.67%,24.94%,12516,
"CARSON, TX",42.65%,13.05%,912,
"WARREN, PA",42.62%,14.09%,8036,
"CROCKETT, TX",42.62%,18.82%,1727,
"MITCHELL, TX",42.61%,20.17%,352,
"JOHNSON, TX",42.59%,23.87%,70289,
"TERRELL, TX",42.55%,,47,
"AVERY, NC",42.53%,21.94%,7698,
"MCLEAN, ND",42.47%,28.07%,3826,
"DICKSON, TN",42.46%,15.39%,5184,
"CLEVELAND, OK",42.44%,21.68%,43287,
"CATAWBA, NC",42.43%,27.26%,38755,
"ROCKWALL, TX",42.42%,26.28%,49226,
"CLAY, NC",42.38%,29.10%,4254,
"MOORE, TX",42.37%,10.38%,1416,
"ATHENS, OH",42.37%,26.38%,22248,
"HARMON, OK",42.36%,19.44%,144,
"GUILFORD, NC",42.36%,25.86%,280275,
"HUGHES, SD",42.35%,22.41%,1700,
"MCKENZIE, ND",42.34%,25.79%,6890,
"ZIEBACH, SD",42.31%,13.85%,130,
"YOUNG, TX",42.29%,20.70%,1575,
"UNICOI, TN",42.27%,16.36%,5654,
"MCHENRY, ND",42.26%,22.21%,1427,
"ALEXANDER, NC",42.24%,22.80%,5403,
"ERIE, OH",42.21%,33.27%,21482,
"DELAWARE, OK",42.19%,23.29%,12308,
"GRAYSON, TX",42.17%,20.51%,14930,
"HAYWOOD, NC",42.17%,13.89%,4743,
"PERRY, PA",42.16%,21.38%,1333,
"DALLAM, TX",42.16%,11.89%,631,
"DICKEY, ND",42.14%,39.68%,2316,
"WASHINGTON, TX",42.11%,24.72%,20886,
"CRANE, TX",42.11%,16.84%,95,
"CROOK, OR",42.10%,28.34%,17913,
"DAY, SD",42.07%,26.14%,2674,
"SNYDER, PA",42.06%,13.72%,6289,
"LIMESTONE, TX",41.98%,24.28%,4226,
"DEAF SMITH, TX",41.97%,11.27%,1358,
"NORTHUMBERLAND, PA",41.97%,16.09%,10779,
"GREGG, TX",41.97%,17.51%,6198,
"BERKELEY, SC",41.90%,20.39%,103103,
"LYNN, TX",41.86%,,86,
"WASHINGTON, OK",41.80%,20.20%,9543,
"OCONEE, SC",41.80%,26.43%,31721,
"LOGAN, OK",41.79%,21.51%,8030,
"MCLENNAN, TX",41.78%,24.62%,96263,
"LAKE, OH",41.76%,30.15%,129403,
"CHEROKEE, TX",41.75%,19.79%,10331,
"MITCHELL, NC",41.74%,17.49%,1847,
"CASTRO, TX",41.67%,8.82%,408,
"LUZERNE, PA",41.58%,26.25%,51232,
"HALL, TX",41.57%,9.04%,166,
"LAWRENCE, PA",41.56%,16.86%,42133,
"HAMBLEN, TN",41.56%,15.08%,1273,
"HARNEY, OR",41.55%,18.72%,3990,
"LINCOLN, NC",41.55%,30.60%,51517,
"FORSYTH, NC",41.54%,29.08%,257147,
"TOWNER, ND",41.52%,19.98%,1156,
"POTTAWATOMIE, OK",41.50%,19.75%,5797,
