time,geography,state,age,epic_n_ed_heat,epic_rate_ed_heat,suppressed_heat
2025-01-01,13,Georgia,25-45 Years,361,150.2113777836956,0
2022-01-01,13,Georgia,45-64 Years,163,109.10453955206897,0
2023-01-01,13,Georgia,45-64 Years,251,123.16237806433885,0
2024-01-01,13,Georgia,45-64 Years,322,148.9968164655364,0
2025-01-01,13,Georgia,45-64 Years,355,177.6038982804941,0
2022-01-01,13,Georgia,65+ Years,91,75.80238069454973,0
2023-01-01,13,Georgia,65+ Years,183,104.9251763086979,0
2024-01-01,13,Georgia,65+ Years,271,141.27386277146996,0
2025-01-01,13,Georgia,65+ Years,260,142.83830703643474,0
2022-01-01,13,Georgia,Total,613,78.52108797179902,0
2023-01-01,13,Georgia,Total,946,95.41388039981038,0
2024-01-01,13,Georgia,Total,1120,107.4364230577749,0
2025-01-01,13,Georgia,Total,1241,130.54995087282268,0
2022-01-01,45,South Carolina,<15 Years,57,46.94990362914518,0
2023-01-01,45,South Carolina,<15 Years,78,51.91969753448,0
2024-01-01,45,South Carolina,<15 Years,68,45.1830244719234,0
2025-01-01,45,South Carolina,<15 Years,80,59.72912840269378,0
2022-01-01,45,South Carolina,15-25 Years,112,137.1473354231975,0
2023-01-01,45,South Carolina,15-25 Years,189,177.90579464588276,0
2024-01-01,45,South Carolina,15-25 Years,209,183.99183041059229,0
2025-01-01,45,South Carolina,15-25 Years,189,182.07215452049516,0
2022-01-01,45,South Carolina,25-45 Years,232,141.58255117110738,0
2023-01-01,45,South Carolina,25-45 Years,348,160.12073471491146,0
2024-01-01,45,South Carolina,25-45 Years,450,194.49282753672674,0
2025-01-01,45,South Carolina,25-45 Years,474,219.37436652180554,0
2022-01-01,45,South Carolina,45-64 Years,191,133.99277421165246,0
2023-01-01,45,South Carolina,45-64 Years,329,172.0261437908497,0
2024-01-01,45,South Carolina,45-64 Years,391,191.3514994910344,0
2025-01-01,45,South Carolina,45-64 Years,495,258.7910536716961,0
2022-01-01,45,South Carolina,65+ Years,159,121.40184775139345,0
2023-01-01,45,South Carolina,65+ Years,286,153.36683093720004,0
2024-01-01,45,South Carolina,65+ Years,390,188.11226926100818,0
2025-01-01,45,South Carolina,65+ Years,438,216.6268528272772,0
2022-01-01,45,South Carolina,Total,745,116.66345646417335,0
2023-01-01,45,South Carolina,Total,1223,144.18803156810085,0
2024-01-01,45,South Carolina,Total,1493,165.2887072275338,0
2025-01-01,45,South Carolina,Total,1662,196.7278314248445,0
2022-01-01,34,New Jersey,<15 Years,21,24.264552954498185,0
2023-01-01,34,New Jersey,<15 Years,30,25.378992961559284,0
2024-01-01,34,New Jersey,<15 Years,38,24.6012015744769,0
2025-01-01,34,New Jersey,<15 Years,56,41.32566840578855,0
2022-01-01,34,New Jersey,15-25 Years,52,83.84527322272207,0
2023-01-01,34,New Jersey,15-25 Years,59,69.26427254904263,0
2024-01-01,34,New Jersey,15-25 Years,79,74.69177823160123,0
2025-01-01,34,New Jersey,15-25 Years,111,116.40833106109864,0
2022-01-01,34,New Jersey,25-45 Years,84,67.947971267715,0
2023-01-01,34,New Jersey,25-45 Years,118,67.24528000820621,0
2024-01-01,34,New Jersey,25-45 Years,145,65.21807575191943,0
2025-01-01,34,New Jersey,25-45 Years,195,96.44536988035829,0
2022-01-01,34,New Jersey,45-64 Years,68,58.35056677278461,0
2023-01-01,34,New Jersey,45-64 Years,95,60.22187004754358,0
2024-01-01,34,New Jersey,45-64 Years,161,84.04238659497834,0
2025-01-01,34,New Jersey,45-64 Years,186,107.71680903431302,0
2022-01-01,34,New Jersey,65+ Years,85,74.36895752220133,0
2023-01-01,34,New Jersey,65+ Years,102,64.58475799711267,0
2024-01-01,34,New Jersey,65+ Years,166,86.3041545572233,0
2025-01-01,34,New Jersey,65+ Years,204,113.2395961121072,0
2022-01-01,34,New Jersey,Total,308,61.33149073356844,0
2023-01-01,34,New Jersey,Total,403,58.138276769935445,0
2024-01-01,34,New Jersey,Total,582,67.3079035901018,0
2025-01-01,34,New Jersey,Total,745,94.85455422815767,0
2022-01-01,08,Colorado,<15 Years,39,22.20236028168533,0
2023-01-01,08,Colorado,<15 Years,35,20.20458586371718,0
2024-01-01,08,Colorado,<15 Years,44,24.19204081857069,0
2025-01-01,08,Colorado,<15 Years,44,26.244527419566488,0
2022-01-01,08,Colorado,15-25 Years,68,73.86406838943743,0
2023-01-01,08,Colorado,15-25 Years,48,50.596618459332966,0
2024-01-01,08,Colorado,15-25 Years,80,75.62508862315073,0
2025-01-01,08,Colorado,15-25 Years,76,79.00700667401293,0
2022-01-01,08,Colorado,25-45 Years,96,58.389188268638925,0
2023-01-01,08,Colorado,25-45 Years,106,60.558970726022075,0
2024-01-01,08,Colorado,25-45 Years,169,82.80295346865982,0
2025-01-01,08,Colorado,25-45 Years,147,77.7650226682396,0
2022-01-01,08,Colorado,45-64 Years,77,68.33146974779476,0
2023-01-01,08,Colorado,45-64 Years,87,72.99270072992701,0
2024-01-01,08,Colorado,45-64 Years,116,82.95787742258457,0
2025-01-01,08,Colorado,45-64 Years,113,87.15571564098015,0
2022-01-01,08,Colorado,65+ Years,58,55.63762638374614,0
2023-01-01,08,Colorado,65+ Years,67,59.466751872758906,0
2024-01-01,08,Colorado,65+ Years,120,84.96718142617414,0
2025-01-01,08,Colorado,65+ Years,128,93.67750056718799,0
2022-01-01,08,Colorado,Total,336,51.91193511008111,0
2023-01-01,08,Colorado,Total,338,50.2207185723052,0
2024-01-01,08,Colorado,Total,523,67.88910321480216,0
2025-01-01,08,Colorado,Total,507,70.640656414715,0
2022-01-01,25,Massachusetts,<15 Years,30,33.947020017426134,0
2023-01-01,25,Massachusetts,<15 Years,13,14.705715998687797,0
2024-01-01,25,Massachusetts,<15 Years,26,23.823049716872216,0
2025-01-01,25,Massachusetts,<15 Years,32,30.670730538463012,0
2022-01-01,25,Massachusetts,15-25 Years,44,63.65924939957753,0
2023-01-01,25,Massachusetts,15-25 Years,31,42.67562395892127,0
2024-01-01,25,Massachusetts,15-25 Years,39,47.38415182368236,0
2025-01-01,25,Massachusetts,15-25 Years,67,83.25256591863615,0
2022-01-01,25,Massachusetts,25-45 Years,72,50.79365079365079,0
2023-01-01,25,Massachusetts,25-45 Years,56,35.84,0
2024-01-01,25,Massachusetts,25-45 Years,86,49.785805256454786,0
2025-01-01,25,Massachusetts,25-45 Years,131,76.87026529043465,0
2022-01-01,25,Massachusetts,45-64 Years,80,66.61171200426315,0
2023-01-01,25,Massachusetts,45-64 Years,65,50.52860696517413,0
2024-01-01,25,Massachusetts,45-64 Years,79,55.172991772938694,0
2025-01-01,25,Massachusetts,45-64 Years,111,74.99189276834937,0
2022-01-01,25,Massachusetts,65+ Years,83,71.55974376438739,0
2023-01-01,25,Massachusetts,65+ Years,71,54.791983392627,0
2024-01-01,25,Massachusetts,65+ Years,139,90.84017357661943,0
2025-01-01,25,Massachusetts,65+ Years,210,124.9375312343828,0
2022-01-01,25,Massachusetts,Total,306,57.270016900269695,0
2023-01-01,25,Massachusetts,Total,235,40.91019081557512,0
2024-01-01,25,Massachusetts,Total,367,55.69060907620357,0
2025-01-01,25,Massachusetts,Total,548,81.69508353620449,0
2022-01-01,18,Indiana,<15 Years,29,27.92569838319836,0
2023-01-01,18,Indiana,<15 Years,35,33.73721600493527,0
2024-01-01,18,Indiana,<15 Years,28,25.767503497018332,0
2025-01-01,18,Indiana,<15 Years,34,37.08713294646363,0
2022-01-01,18,Indiana,15-25 Years,77,98.6319618793872,0
2023-01-01,18,Indiana,15-25 Years,96,118.8001188001188,0
2024-01-01,18,Indiana,15-25 Years,70,82.98164920100527,0
2025-01-01,18,Indiana,15-25 Years,151,201.7745470094607,0
2022-01-01,18,Indiana,25-45 Years,179,111.58487931378416,0
2023-01-01,18,Indiana,25-45 Years,183,108.51711071710241,0
2024-01-01,18,Indiana,25-45 Years,199,112.00918587896254,0
2025-01-01,18,Indiana,25-45 Years,281,174.13397781495942,0
2022-01-01,18,Indiana,45-64 Years,181,131.6200906069795,0
2023-01-01,18,Indiana,45-64 Years,132,92.81982406424257,0
2024-01-01,18,Indiana,45-64 Years,164,112.43195809852878,0
2025-01-01,18,Indiana,45-64 Years,265,194.28152492668622,0
2022-01-01,18,Indiana,65+ Years,135,103.95570716832354,0
2023-01-01,18,Indiana,65+ Years,114,83.11339875475714,0
2024-01-01,18,Indiana,65+ Years,161,111.37629276054098,0
2025-01-01,18,Indiana,65+ Years,204,145.63210759642774,0
2022-01-01,18,Indiana,Total,596,98.01583712267603,0
2023-01-01,18,Indiana,Total,554,87.86914159461872,0
2024-01-01,18,Indiana,Total,618,93.81389933373916,0
2025-01-01,18,Indiana,Total,932,154.55309777805047,0
2022-01-01,21,Kentucky,<15 Years,48,42.432064496738036,0
2023-01-01,21,Kentucky,<15 Years,37,31.87539305805629,0
2024-01-01,21,Kentucky,<15 Years,39,33.501988643684875,0
2025-01-01,21,Kentucky,<15 Years,50,48.995110287993256,0
2022-01-01,21,Kentucky,15-25 Years,116,171.85185185185185,0
2023-01-01,21,Kentucky,15-25 Years,92,128.7775926988704,0
2024-01-01,21,Kentucky,15-25 Years,105,144.60818069136482,0
2025-01-01,21,Kentucky,15-25 Years,135,205.620287868403,0
2022-01-01,21,Kentucky,25-45 Years,281,212.55190880691057,0
2023-01-01,21,Kentucky,25-45 Years,196,139.20256814533886,0
2024-01-01,21,Kentucky,25-45 Years,216,150.4042113179169,0
2025-01-01,21,Kentucky,25-45 Years,340,257.09079085664166,0
2022-01-01,21,Kentucky,45-64 Years,202,168.2842504269588,0
2023-01-01,21,Kentucky,45-64 Years,165,128.19715946172732,0
2024-01-01,21,Kentucky,45-64 Years,188,145.2107486849931,0
2025-01-01,21,Kentucky,45-64 Years,329,271.8424140267381,0
2022-01-01,21,Kentucky,65+ Years,118,101.08884681612967,0
2023-01-01,21,Kentucky,65+ Years,117,92.26037929267042,0
2024-01-01,21,Kentucky,65+ Years,149,113.43651742278323,0
2025-01-01,21,Kentucky,65+ Years,183,147.378593863252,0
2022-01-01,21,Kentucky,Total,759,138.40767351106896,0
2023-01-01,21,Kentucky,Total,602,103.39236888748437,0
2024-01-01,21,Kentucky,Total,689,116.45870871124663,0
2025-01-01,21,Kentucky,Total,1034,189.96213617382455,0
2022-01-01,09,Connecticut,<15 Years,33,32.326952841833034,0
2023-01-01,09,Connecticut,<15 Years,27,27.788927656158336,0
2024-01-01,09,Connecticut,<15 Years,18,18.041133785029867,0
2025-01-01,09,Connecticut,<15 Years,33,35.059388479272464,0
2022-01-01,09,Connecticut,15-25 Years,43,63.80673977237316,0
2023-01-01,09,Connecticut,15-25 Years,34,50.40696209099939,0
2024-01-01,09,Connecticut,15-25 Years,43,61.76652254478073,0
2025-01-01,09,Connecticut,15-25 Years,56,81.35278052181998,0
2022-01-01,09,Connecticut,25-45 Years,75,56.29743058526809,0
2023-01-01,09,Connecticut,25-45 Years,57,41.51976923749308,0
2024-01-01,09,Connecticut,25-45 Years,94,64.63324073819412,0
2025-01-01,09,Connecticut,25-45 Years,156,103.73099096343482,0
2022-01-01,09,Connecticut,45-64 Years,71,57.51129975537447,0
2023-01-01,09,Connecticut,45-64 Years,85,67.23034698768498,0
2024-01-01,09,Connecticut,45-64 Years,89,67.10549134037564,0
2025-01-01,09,Connecticut,45-64 Years,146,106.59501923821067,0
2022-01-01,09,Connecticut,65+ Years,81,66.47626551112862,0
2023-01-01,09,Connecticut,65+ Years,75,57.694082894858305,0
2024-01-01,09,Connecticut,65+ Years,97,68.57401398344327,0
2025-01-01,09,Connecticut,65+ Years,185,122.94319359897924,0
2022-01-01,09,Connecticut,Total,303,55.12278008011905,0
