Session Title,Heat Opioid OD Firearm ED visits 2022-2025,,,,,
Session ID,2782575,,,,,
Data Model,Patients,,,,,
Population Base,All Patients,,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"Encounter Type: Emergency, Emergency to Inpatient",,,,,
Session Date Range,1/1/2022 - 11/12/2025,,,,,
Measure,Number of Patients,,,,,
Export User,Stephanie Perniciaro,,,,,
Date of Export,12/8/2025,,,,,
,,,,,,
,,,,,,
,,Diagnosis (Encounter),OPIOID OD,Heat,firearms initial,"Total: Total includes all data, including data from columns not currently displayed."
State of Residence,Age at Encounter in Years,Year,,,,
,,Jan 1 – Dec 31 2023,886,360,160,289813
,,Jan 1 – Dec 31 2024,568,418,129,304851
,,Jan 1 – Nov 12 2025,418,519,116,274281
,65 Years or more,Jan 1 – Dec 31 2022,240,298,37,259949
,,Jan 1 – Dec 31 2023,256,301,52,286578
,,Jan 1 – Dec 31 2024,195,448,47,314039
,,Jan 1 – Nov 12 2025,152,588,39,294557
,No value,Jan 1 – Dec 31 2022,10 or fewer,10 or fewer,10 or fewer,2353
,,Jan 1 – Dec 31 2023,10 or fewer,10 or fewer,10 or fewer,2153
,,Jan 1 – Dec 31 2024,10 or fewer,10 or fewer,10 or fewer,2336
,,Jan 1 – Nov 12 2025,10 or fewer,10 or fewer,10 or fewer,2469
,"Total: Total includes all data under the Virginia bucket, including data from rows not currently displayed.",Jan 1 – Dec 31 2022,2426,1325,1267,1190298
,,Jan 1 – Dec 31 2023,2501,1321,1166,1278557
,,Jan 1 – Dec 31 2024,1593,1668,943,1358176
,,Jan 1 – Nov 12 2025,1182,2086,756,1215285
Illinois,Less than 15 Years,Jan 1 – Dec 31 2022,10 or fewer,54,48,230643
,,Jan 1 – Dec 31 2023,10 or fewer,53,41,227000
,,Jan 1 – Dec 31 2024,10 or fewer,57,30,230092
,,Jan 1 – Nov 12 2025,10 or fewer,93,32,197623
,≥ 15 and < 25 Years,Jan 1 – Dec 31 2022,106,155,565,145647
,,Jan 1 – Dec 31 2023,102,131,481,148641
,,Jan 1 – Dec 31 2024,96,170,437,158781
,,Jan 1 – Nov 12 2025,59,191,302,138863
,≥ 25 and < 45 Years,Jan 1 – Dec 31 2022,787,299,706,270019
,,Jan 1 – Dec 31 2023,720,308,681,282854
,,Jan 1 – Dec 31 2024,492,268,617,307890
,,Jan 1 – Nov 12 2025,467,401,442,275158
,≥ 45 and < 65 Years,Jan 1 – Dec 31 2022,679,243,191,239461
,,Jan 1 – Dec 31 2023,626,253,174,250283
,,Jan 1 – Dec 31 2024,513,245,209,269041
,,Jan 1 – Nov 12 2025,510,369,132,242360
,65 Years or more,Jan 1 – Dec 31 2022,189,256,61,250599
,,Jan 1 – Dec 31 2023,211,205,39,268716
,,Jan 1 – Dec 31 2024,236,276,58,296366
,,Jan 1 – Nov 12 2025,209,392,47,278213
,No value,Jan 1 – Dec 31 2022,10 or fewer,10 or fewer,10 or fewer,3034
,,Jan 1 – Dec 31 2023,10 or fewer,10 or fewer,10 or fewer,2401
,,Jan 1 – Dec 31 2024,10 or fewer,10 or fewer,10 or fewer,2475
,,Jan 1 – Nov 12 2025,10 or fewer,10 or fewer,10 or fewer,2887
,"Total: Total includes all data under the Illinois bucket, including data from rows not currently displayed.",Jan 1 – Dec 31 2022,1750,998,1571,1134666
,,Jan 1 – Dec 31 2023,1636,943,1408,1174931
,,Jan 1 – Dec 31 2024,1323,1008,1344,1258848
,,Jan 1 – Nov 12 2025,1240,1440,952,1131039
Michigan,Less than 15 Years,Jan 1 – Dec 31 2022,10 or fewer,37,32,155738
,,Jan 1 – Dec 31 2023,13,34,20,151665
,,Jan 1 – Dec 31 2024,12,41,31,170519
,,Jan 1 – Nov 12 2025,10 or fewer,58,25,164675
,≥ 15 and < 25 Years,Jan 1 – Dec 31 2022,109,88,297,122212
,,Jan 1 – Dec 31 2023,91,91,336,121724
,,Jan 1 – Dec 31 2024,64,142,277,138940
,,Jan 1 – Nov 12 2025,35,160,239,133681
,≥ 25 and < 45 Years,Jan 1 – Dec 31 2022,951,149,479,247433
,,Jan 1 – Dec 31 2023,768,159,453,255053
,,Jan 1 – Dec 31 2024,528,224,423,297650
,,Jan 1 – Nov 12 2025,450,336,389,295336
,≥ 45 and < 65 Years,Jan 1 – Dec 31 2022,510,142,155,221006
,,Jan 1 – Dec 31 2023,498,135,164,226752
,,Jan 1 – Dec 31 2024,363,231,194,264236
,,Jan 1 – Nov 12 2025,339,284,187,262799
,65 Years or more,Jan 1 – Dec 31 2022,247,136,57,227672
,,Jan 1 – Dec 31 2023,277,135,49,243067
,,Jan 1 – Dec 31 2024,259,255,57,292567
,,Jan 1 – Nov 12 2025,208,335,68,298728
,No value,Jan 1 – Dec 31 2022,10 or fewer,10 or fewer,10 or fewer,2127
,,Jan 1 – Dec 31 2023,10 or fewer,10 or fewer,10 or fewer,1935
,,Jan 1 – Dec 31 2024,10 or fewer,10 or fewer,10 or fewer,1816
,,Jan 1 – Nov 12 2025,10 or fewer,10 or fewer,10 or fewer,2757
,"Total: Total includes all data under the Michigan bucket, including data from rows not currently displayed.",Jan 1 – Dec 31 2022,1802,548,1015,971429
,,Jan 1 – Dec 31 2023,1629,548,1017,995249
,,Jan 1 – Dec 31 2024,1209,885,978,1160327
,,Jan 1 – Nov 12 2025,1022,1166,902,1153405
Georgia,Less than 15 Years,Jan 1 – Dec 31 2022,10 or fewer,57,72,222322
,,Jan 1 – Dec 31 2023,16,66,84,239035
,,Jan 1 – Dec 31 2024,12,75,69,239380
,,Jan 1 – Nov 12 2025,11,96,66,207806
,≥ 15 and < 25 Years,Jan 1 – Dec 31 2022,145,120,708,103106
,,Jan 1 – Dec 31 2023,159,174,691,126767
,,Jan 1 – Dec 31 2024,124,149,611,133727
,,Jan 1 – Nov 12 2025,84,179,523,121634
,≥ 25 and < 45 Years,Jan 1 – Dec 31 2022,660,185,870,187255
,,Jan 1 – Dec 31 2023,805,280,813,250007
,,Jan 1 – Dec 31 2024,580,309,834,264064
,,Jan 1 – Nov 12 2025,393,361,631,240328
,≥ 45 and < 65 Years,Jan 1 – Dec 31 2022,346,163,237,149398
,,Jan 1 – Dec 31 2023,426,251,263,203796
,,Jan 1 – Dec 31 2024,353,322,286,216112
,,Jan 1 – Nov 12 2025,269,355,216,199883
,65 Years or more,Jan 1 – Dec 31 2022,123,91,51,120049
,,Jan 1 – Dec 31 2023,177,183,66,174410
,,Jan 1 – Dec 31 2024,168,271,68,191826
,,Jan 1 – Nov 12 2025,130,260,54,182024
,No value,Jan 1 – Dec 31 2022,10 or fewer,10 or fewer,10 or fewer,1646
,,Jan 1 – Dec 31 2023,10 or fewer,10 or fewer,10 or fewer,2060
,,Jan 1 – Dec 31 2024,10 or fewer,10 or fewer,10 or fewer,2364
,,Jan 1 – Nov 12 2025,10 or fewer,10 or fewer,10 or fewer,2638
,"Total: Total includes all data under the Georgia bucket, including data from rows not currently displayed.",Jan 1 – Dec 31 2022,1270,613,1936,780682
,,Jan 1 – Dec 31 2023,1565,946,1906,991470
,,Jan 1 – Dec 31 2024,1223,1120,1861,1042477
,,Jan 1 – Nov 12 2025,874,1241,1492,950594
South Carolina,Less than 15 Years,Jan 1 – Dec 31 2022,13,57,51,121406
,,Jan 1 – Dec 31 2023,16,78,57,150232
,,Jan 1 – Dec 31 2024,10 or fewer,68,59,150499
,,Jan 1 – Nov 12 2025,10 or fewer,80,47,133938
,≥ 15 and < 25 Years,Jan 1 – Dec 31 2022,211,112,410,81664
,,Jan 1 – Dec 31 2023,176,189,465,106236
,,Jan 1 – Dec 31 2024,107,209,486,113592
,,Jan 1 – Nov 12 2025,81,189,421,103805
,≥ 25 and < 45 Years,Jan 1 – Dec 31 2022,975,232,453,163862
,,Jan 1 – Dec 31 2023,1031,348,567,217336
,,Jan 1 – Dec 31 2024,568,450,499,231371
,,Jan 1 – Nov 12 2025,515,474,488,216069
,≥ 45 and < 65 Years,Jan 1 – Dec 31 2022,468,191,146,142545
,,Jan 1 – Dec 31 2023,575,329,169,191250
,,Jan 1 – Dec 31 2024,396,391,174,204336
,,Jan 1 – Nov 12 2025,304,495,199,191274
,65 Years or more,Jan 1 – Dec 31 2022,116,159,51,130970
,,Jan 1 – Dec 31 2023,152,286,44,186481
,,Jan 1 – Dec 31 2024,137,390,67,207323
,,Jan 1 – Nov 12 2025,135,438,66,202191
,No value,Jan 1 – Dec 31 2022,10 or fewer,10 or fewer,11,1336
,,Jan 1 – Dec 31 2023,10 or fewer,10 or fewer,10 or fewer,1510
,,Jan 1 – Dec 31 2024,10 or fewer,10 or fewer,10 or fewer,1567
,,Jan 1 – Nov 12 2025,10 or fewer,10 or fewer,10 or fewer,1665
,"Total: Total includes all data under the South Carolina bucket, including data from rows not currently displayed.",Jan 1 – Dec 31 2022,1757,745,1110,638589
,,Jan 1 – Dec 31 2023,1920,1223,1291,848198
,,Jan 1 – Dec 31 2024,1204,1493,1283,903268
,,Jan 1 – Nov 12 2025,1027,1662,1218,844822
New Jersey,Less than 15 Years,Jan 1 – Dec 31 2022,10 or fewer,21,10 or fewer,86546
,,Jan 1 – Dec 31 2023,10 or fewer,30,10 or fewer,118208
,,Jan 1 – Dec 31 2024,10 or fewer,38,10 or fewer,154464
,,Jan 1 – Nov 12 2025,10 or fewer,56,10 or fewer,135509
,≥ 15 and < 25 Years,Jan 1 – Dec 31 2022,46,52,83,62019
,,Jan 1 – Dec 31 2023,62,59,105,85181
,,Jan 1 – Dec 31 2024,48,79,73,105768
,,Jan 1 – Nov 12 2025,29,111,58,95354
,≥ 25 and < 45 Years,Jan 1 – Dec 31 2022,439,84,131,123624
,,Jan 1 – Dec 31 2023,539,118,150,175477
,,Jan 1 – Dec 31 2024,557,145,165,222331
,,Jan 1 – Nov 12 2025,482,195,116,202187
,≥ 45 and < 65 Years,Jan 1 – Dec 31 2022,352,68,29,116537
,,Jan 1 – Dec 31 2023,475,95,29,157750
,,Jan 1 – Dec 31 2024,639,161,37,191570
,,Jan 1 – Nov 12 2025,606,186,36,172675
