Session Title,Heat only Yearly by County 2018-2025 FLKS,,
Session ID,2792484,,
Data Model,Patients,,
Population Base,All Patients,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,State of Residence: STATES_FL_KS,"Encounter Type: Emergency, Emergency to Inpatient",
Session Date Range,1/1/2018 - 12/31/2025,,
Measure,Number of Patients,,
Export User,Stephanie Perniciaro,,
Date of Export,1/22/2026,,
,,,
,,,
,Diagnosis (Encounter),Heat,"Total: Total includes all data, including data from columns not currently displayed."
Year,County of Residence,,
,"LEE, IA",10 or fewer,756
,"MONROE, IN",10 or fewer,560
,"KOOTENAI, ID",10 or fewer,609
,"MORGAN, GA",10 or fewer,285
,"ALLAMAKEE, IA",10 or fewer,661
,"HENRY, IA",10 or fewer,695
,"OHIO, IN",10 or fewer,384
,"JERSEY, IL",10 or fewer,750
,"DOUGHERTY, GA",10 or fewer,373
,"BUTLER, IA",10 or fewer,606
,"CHARLTON, GA",10 or fewer,437
,"LYON, IA",10 or fewer,1162
,"BOISE, ID",10 or fewer,588
,"DELAWARE, IA",10 or fewer,642
,"LINN, KS",10 or fewer,397
,"MCDONOUGH, IL",10 or fewer,634
,"CALHOUN, IA",10 or fewer,764
,"GRUNDY, IA",10 or fewer,557
,"CRAWFORD, IN",10 or fewer,218
,"JASPER, IN",10 or fewer,612
,"MENARD, IL",10 or fewer,708
,"JASPER, GA",10 or fewer,393
,"ALEXANDER, IL",10 or fewer,916
,"KEOKUK, IA",10 or fewer,454
,"DESOTO, FL",10 or fewer,265
,"BOONE, IA",10 or fewer,564
,"FULTON, IN",10 or fewer,332
,"OGLETHORPE, GA",10 or fewer,153
,"TAYLOR, FL",10 or fewer,359
,"CLAYTON, IA",10 or fewer,495
,"ADAMS, ID",10 or fewer,742
,"CUMBERLAND, IL",10 or fewer,174
,"WABASH, IL",10 or fewer,455
,"UNION, IL",10 or fewer,565
,"POTTAWATOMIE, KS",10 or fewer,409
,"WILLIAMSON, IL",10 or fewer,411
,"WALTON, FL",10 or fewer,333
,"MILLS, IA",10 or fewer,565
,"POWER, ID",10 or fewer,49
,"VIGO, IN",10 or fewer,480
,"LINCOLN, ID",10 or fewer,641
,"TIFT, GA",10 or fewer,353
,"LIBERTY, GA",10 or fewer,360
,"COLQUITT, GA",10 or fewer,377
,"GUTHRIE, IA",10 or fewer,489
,"HOLMES, FL",10 or fewer,70
,"LYON, KS",10 or fewer,448
,"RANDOLPH, IL",10 or fewer,399
,"EDGAR, IL",10 or fewer,588
,"PERRY, IN",10 or fewer,380
,"PULASKI, IL",10 or fewer,676
,"JOHNSON, IL",10 or fewer,619
,"SALINE, IL",10 or fewer,392
,"MARION, IL",10 or fewer,167
,"APPANOOSE, IA",10 or fewer,193
,"TIPTON, IN",10 or fewer,527
,"PUTNAM, IL",10 or fewer,160
,"CLINCH, GA",10 or fewer,440
,"LAURENS, GA",10 or fewer,196
,"TAYLOR, GA",10 or fewer,45
,"HENDERSON, IL",10 or fewer,678
,"EARLY, GA",10 or fewer,31
,"WABAUNSEE, KS",10 or fewer,505
,"HUMBOLDT, IA",10 or fewer,550
,"CARROLL, IL",10 or fewer,304
,"THOMAS, GA",10 or fewer,280
,"JACKSON, IL",10 or fewer,426
,"CASS, IL",10 or fewer,442
,"TOWNS, GA",10 or fewer,374
,"CHICKASAW, IA",10 or fewer,300
,"FOUNTAIN, IN",10 or fewer,537
,"CRAWFORD, GA",10 or fewer,56
,"THOMAS, KS",10 or fewer,47
,"WARE, GA",10 or fewer,240
,"COFFEE, GA",10 or fewer,256
,"GLADES, FL",10 or fewer,373
,"WRIGHT, IA",10 or fewer,390
,"JEFFERSON, IA",10 or fewer,423
,"ATCHISON, KS",10 or fewer,372
,"ECHOLS, GA",10 or fewer,505
,"HAMILTON, IA",10 or fewer,376
,"JEFFERSON, FL",10 or fewer,79
,"WASHINGTON, IL",10 or fewer,206
,"HARDIN, IA",10 or fewer,345
,"DONIPHAN, KS",10 or fewer,79
,"CLARKE, IA",10 or fewer,386
,"WINNESHIEK, IA",10 or fewer,401
,"DICKINSON, KS",10 or fewer,101
,"WASHINGTON, GA",10 or fewer,68
,"MACON, GA",10 or fewer,54
,"DECATUR, GA",10 or fewer,105
,"MONROE, IL",10 or fewer,284
,"EDWARDS, IL",10 or fewer,255
,"BURKE, GA",10 or fewer,80
,"BULLOCH, GA",10 or fewer,174
,"EFFINGHAM, GA",10 or fewer,207
,"OSCEOLA, IA",10 or fewer,399
,"WAYNE, IL",10 or fewer,210
,"FRANKLIN, IL",10 or fewer,250
,"GREENE, IN",10 or fewer,308
,"UNION, IA",10 or fewer,301
,"ORANGE, IN",10 or fewer,127
,"ADAMS, IL",10 or fewer,255
,"BOURBON, KS",10 or fewer,198
,"CHEROKEE, IA",10 or fewer,298
,"WASHINGTON, FL",10 or fewer,70
,"BRYAN, GA",10 or fewer,189
,"CARROLL, IN",10 or fewer,228
,"LAFAYETTE, FL",10 or fewer,266
,"WINNEBAGO, IA",10 or fewer,85
,"PUTNAM, IN",10 or fewer,311
,"COFFEY, KS",10 or fewer,227
,"LUCAS, IA",10 or fewer,274
,"LAWRENCE, IN",10 or fewer,185
,"JEFFERSON, IL",10 or fewer,177
,"BUENA VISTA, IA",10 or fewer,263
,"IDAHO, ID",10 or fewer,304
,"PAGE, IA",10 or fewer,225
,"SULLIVAN, IN",10 or fewer,303
,"FLOYD, IA",10 or fewer,157
,"MCDUFFIE, GA",10 or fewer,76
,"TWIGGS, GA",10 or fewer,40
,"GREENE, IL",10 or fewer,237
,"SEMINOLE, GA",10 or fewer,32
,"RUSH, IN",10 or fewer,183
